YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2017/18,8th Finals,1,FC Bayern München  ,2,2,0,0,8,1,7,WW,33%,58%,17%,92%,92%,3.17
2017/18,8th Finals,2,Real Madrid CF  ,2,2,0,0,5,2,3,WW,23%,77%,0%,100%,92%,3.77
2017/18,8th Finals,3,Liverpool FC    ,2,1,1,0,5,0,5,WD,40%,60%,7%,93%,87%,4.4
2017/18,8th Finals,4,FC Barcelona    ,2,1,1,0,4,1,3,DW,60%,30%,30%,70%,50%,2.3
2017/18,8th Finals,5,Juventus FC     ,2,1,1,0,4,3,3,DW,30%,50%,30%,90%,60%,2.6
2017/18,8th Finals,6,Sevilla FC    ,2,1,1,0,2,1,1,DW,25%,75%,17%,83%,75%,3.08
2017/18,8th Finals,7,Manchester City FC  ,2,1,0,1,5,2,3,WL,40%,50%,10%,90%,80%,3.2
2017/18,8th Finals,8,AS Roma  ,2,1,0,1,2,2,0,LW,42%,50%,17%,75%,67%,3.33
2017/18,8th Finals,9,FC Shakhtar Donetsk  ,2,1,0,1,2,2,0,WL,0%,63%,38%,88%,75%,2.75
2017/18,8th Finals,10,FC Basel 1893  ,2,1,0,1,2,5,-3,LW,50%,25%,25%,88%,63%,2.88
2017/18,8th Finals,11,Tottenham Hotspur FC    ,2,0,1,1,3,4,-1,DL,25%,75%,0%,100%,88%,3.25
2017/18,8th Finals,12,Manchester United FC    ,2,0,1,1,1,2,-1,DL,50%,38%,25%,63%,50%,2.25
2017/18,8th Finals,13,Chelsea FC  ,2,0,1,1,1,4,-3,DL,25%,50%,25%,100%,75%,3.63
2017/18,8th Finals,14,FC Porto    ,2,0,1,1,0,5,-5,LD,25%,63%,25%,88%,75%,3.75
2017/18,8th Finals,15,Paris Saint-Germain FC    ,2,0,0,2,2,5,-3,LL,50%,50%,0%,100%,100%,4.5
2017/18,8th Finals,16,Beşiktaş    ,2,0,0,2,1,8,-7,LL,13%,75%,13%,100%,63%,3.13
2017/18,Quarter Finals,1,Liverpool FC  ,2,2,0,0,5,1,4,WW,40%,60%,7%,93%,87%,4.4
2017/18,Quarter Finals,2,FC Bayern München   ,2,1,1,0,2,1,1,WD,33%,58%,17%,92%,92%,3.17
2017/18,Quarter Finals,3,Real Madrid CF  ,2,1,0,1,4,3,1,WL,23%,77%,0%,100%,92%,3.77
2017/18,Quarter Finals,4,AS Roma      ,2,1,0,1,4,4,0,LW,42%,50%,17%,75%,67%,3.33
2017/18,Quarter Finals,5,FC Barcelona    ,2,1,0,1,4,4,0,WL,60%,30%,30%,70%,50%,2.3
2017/18,Quarter Finals,6,Juventus FC    ,2,1,0,1,3,4,-1,LW,30%,50%,30%,90%,60%,2.6
2017/18,Quarter Finals,7,Sevilla FC  ,2,0,1,1,1,2,-1,LD,25%,75%,17%,83%,75%,2.6
2017/18,Quarter Finals,8,Manchester City FC,2,0,0,2,1,5,-4,LL,40%,50%,10%,90%,80%,3.2
2016/17,Semi Finals,1,Real Madrid CF    ,2,1,1,0,4,3,1,WD,23%,77%,0%,100%,92%,3.77
2016/17,Semi Finals,2,Liverpool FC  ,2,1,0,1,7,6,1,WL,40%,60%,7%,93%,87%,4.4
2016/17,Semi Finals,3,AS Roma,2,1,0,1,6,7,-1,LW,42%,50%,17%,75%,67%,3.33
2016/17,Semi Finals,4,FC Bayern München  ,2,0,1,1,3,4,-1,LD,33%,58%,17%,92%,92%,3.17
2017/18,Finals,1,Real Madrid CF  ,1,1,0,0,3,1,2,W,23%,77%,0%,100%,92%,3.77
2017/18,Finals,2,Liverpool FC   ,1,0,0,1,1,3,-2,L,40%,60%,7%,93%,87%,4.4
