YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2012/13,8th Finals,1,Juventus  ,2,2,0,0,5,0,+5,WW,50%,30%,20%,90%,40%,2.5
2012/13,8th Finals,2,Borussia Dortmund  ,2,1,1,0,5,2,+3,DW,31%,62%,15%,77%,54%,2.54
2012/13,8th Finals,3,Real Madrid ,2,1,1,0,3,2,+1,DW,17%,83%,0%,100%,83%,3.66
2012/13,8th Finals,4,Paris Saint-Germain    ,2,1,1,0,3,2,+1,WD,30%,50%,10%,90%,50%,2.8
2012/13,8th Finals,5,Galatasaray  ,2,1,1,0,4,3,+1,DW,10%,60%,30%,80%,50%,2.8
2012/13,8th Finals,6,FC Barcelona    ,2,1,0,1,4,2,+2,LW,33%,42%,30%,92%,75%,2.9
2012/13,8th Finals,7,Malaga  ,2,1,0,1,2,1,+1,LW,40%,40%,20%,70%,70%,2.5
2012/13,8th Finals,8,Bayern München ,2,1,0,1,3,3,+0,WL,38%,62%,8%,92%,62%,3.23
2012/13,8th Finals,9,Arsenal,2,1,0,1,2,3,-1,LW,25%,50%,25%,100%,63%,3.0
2012/13,8th Finals,10,FC Porto    ,2,1,0,1,1,2,-1,WL,63%,25%,25%,63%,38%,2.13
2012/13,8th Finals,11,AC Milan    ,2,1,0,1,2,4,-2,WL,25%,38%,50%,63%,38%,2.38
2012/13,8th Finals,12,Valencia CF   ,2,0,1,1,2,3,-1,DL,38%,63%,0%,88%,50%,2.75
2012/13,8th Finals,13,Manchester United  ,2,0,1,1,2,3,-1,DL,25%,63%,13%,63%,50%,2.5
2012/13,8th Finals,14,Schalke 04   ,2,0,1,1,3,4,-1,DL,25%,75%,0%,88%,50%,2.88
2012/13,8th Finals,15,Shakhtar Donetsk  ,2,0,1,1,2,5,-3,DL,13%,63%,25%,88%,63%,3.38
2012/13,8th Finals,16,Celtic  ,2,0,0,2,0,5,-5,LL,13%,63%,40%,75%,63%,2.75
2012/13,Quarter Finals,1,Bayern München ,2,2,0,0,4,0,+4,WW,38%,62%,8%,92%,62%,3.23
2012/13,Quarter Finals,2,Borussia Dortmund  ,2,1,1,0,3,2,+1,DW,31%,62%,15%,77%,54%,2.54
2012/13,Quarter Finals,3,Real Madrid CF  ,2,1,0,1,5,3,+2,WL,38%,54%,8%,92%,77%,3.92
2012/13,Quarter Finals,4,FC Barcelona    ,2,0,2,0,3,3,+0,DD,33%,42%,30%,92%,75%,2.9
2012/13,Quarter Finals,5,Paris Saint-Germain ,2,0,2,0,3,3,+0,DD,30%,50%,10%,90%,50%,2.8
2012/13,Quarter Finals,6,Galatasaray  ,2,1,0,1,3,5,-2,LW,10%,60%,30%,80%,50%,2.8
2012/13,Quarter Finals,7,Malaga  ,2,0,1,1,2,3,-1,DL,40%,40%,20%,70%,70%,2.5
2012/13,Quarter Finals,8,Juventus  ,2,0,0,2,0,4,-4,LL,50%,30%,20%,90%,40%,2.5
2012/13,Semi Finals,1,Bayern München ,2,2,0,0,7,0,+7,WW,38%,62%,8%,92%,62%,3.23
2012/13,Semi Finals,2,Borussia Dortmund  ,2,1,0,1,4,3,+1,WL,31%,62%,15%,77%,54%,2.54
2012/13,Semi Finals,3,Real Madrid CF  ,2,1,0,1,3,4,-1,LW,38%,54%,8%,92%,77%,3.92
2012/13,Semi Finals,4,FC Barcelona    ,2,0,0,2,0,7,-7,LL,33%,42%,30%,92%,75%,2.9
2012/13,Finals,1,Bayern München ,2,1,0,0,2,1,+1,W,38%,62%,8%,92%,62%,3.23
2012/13,Finals,2,Borussia Dortmund  ,2,0,0,1,1,2,-1,L,31%,62%,15%,77%,54%,2.54
