YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2011/12,8th Finals,1,FC Barcelona,2,2,0,0,10,2,+8,WW,42%,50%,17%,83%,75%,3.75
2011/12,8th Finals,2,Real Madrid,2,1,1,0,5,2,+3,DW,50%,50%,0%,92%,75%,3.66
2011/12,8th Finals,3,Bayern München,2,1,0,1,7,1,+6,LW,38%,46%,15%,92%,38%,2.85
2011/12,8th Finals,4,Chelsea,2,1,0,1,5,4,+1,LW,38%,62%,0%,83%,62%,3.47
2011/12,8th Finals,5,Milan AC,2,1,0,1,4,3,+1,WL,40%,50%,20%,80%,60%,3
2011/12,8th Finals,6,Benfica,2,1,0,1,4,3,+1,LW,40%,52%,30%,70%,30%,2.3
2011/12,8th Finals,7,Marseille,2,1,0,1,2,2,+0,WL,40%,20%,50%,50%,30%,1.9
2011/12,8th Finals,8,APOEL Nicosie,2,1,0,1,1,1,+0,LW,20%,50%,40%,70%,40%,2.4
2011/12,8th Finals,9,Inter Milan,2,1,0,1,2,2,+0,LW,13%,63%,25%,63%,50%,2.35
2011/12,8th Finals,10,Lyon,2,1,0,1,1,1,+0,WL,50%,38%,63%,50%,25%,2.25
2011/12,8th Finals,11,SSC Napoli,2,1,0,1,4,5,-1,WL,25%,75%,0%,100%,50%,3.13
2011/12,8th Finals,12,Arsenal,2,1,0,1,3,4,-1,LW,38%,50%,25%,75%,63%,2.5
2011/12,8th Finals,13,Zenit St Petersbourg,2,1,0,1,3,4,-1,WL,38%,50%,38%,63%,50%,2.38
2011/12,8th Finals,14,FC Basel,2,1,0,1,1,7,-6,WL,13%,75%,25%,88%,63%,3.6
2011/12,8th Finals,15,CSKA Moscow,2,0,1,1,2,5,-3,DL,25%,63%,25%,88%,63%,2.75
2011/12,8th Finals,16,Bayer Leverkusen,2,0,0,2,2,10,-8,LL,13%,75%,13%,100%,63%,3.5
2011/12,Quarter Finals,1,Real Madrid,2,2,0,0,8,2,+6,WW,50%,50%,0%,92%,75%,3.66
2011/12,Quarter Finals,2,Bayern München,2,2,0,0,4,0,+4,WW,38%,46%,15%,92%,38%,2.85
2011/12,Quarter Finals,3,FC Barcelona,2,1,1,0,3,1,+2,DW,42%,50%,17%,83%,75%,3.75
2011/12,Quarter Finals,4,Chelsea,2,1,1,0,3,1,+2,DW,38%,62%,0%,83%,62%,3.47
2011/12,Quarter Finals,5,Milan AC,2,0,1,1,1,3,-2,DL,40%,50%,20%,80%,60%,3
2011/12,Quarter Finals,6,Benfica,2,0,1,1,1,3,-2,LW,40%,52%,30%,70%,30%,2.3
2011/12,Quarter Finals,7,Marseille,2,0,0,2,0,4,-4,LL,40%,20%,50%,50%,30%,1.9
2011/12,Quarter Finals,8,APOEL Nicosie,2,0,0,2,2,8,-6,LL,20%,50%,40%,70%,40%,2.4
2011/12,Semi Finals,1,Chelsea,2,1,1,0,3,2,+1,WD,38%,62%,0%,83%,62%,3.47
2011/12,Semi Finals,2,Bayern München,2,1,0,1,3,3,+0,WL,38%,46%,15%,92%,38%,2.85
2011/12,Semi Finals,3,Real Madrid,2,1,0,1,3,3,+0,LW,50%,50%,0%,92%,75%,3.66
2011/12,Semi Finals,4,FC Barcelona,2,0,1,1,2,3,-1,LD,42%,50%,17%,83%,75%,3.75
2011/12,Finals,1,Chelsea,2,1,0,0,1,1,+0,W,38%,62%,0%,83%,62%,3.47
2011/12,Finals,2,Bayern München,2,0,0,1,1,1,+0,L,38%,46%,15%,92%,38%,2.85
