YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2013/14,Finals,1,Real Madrid CF  ,1,1,0,0,4,1,+3,W,38%,54%,8%,92%,77%,3.92
2013/14,Finals,2,Club Atlético de Madrid,1,0,0,1,1,4,-3,L,46%,54%,8%,77%,54%,2.77
