YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2015/16,Finals,1,Club Atlético de Madrid,1,0,1,0,1,1,0,D,62%,38%,23%,69%,38%,1.92
2015/16,Finals,2,Real Madrid CF  ,1,0,1,0,1,1,0,D,77%,15%,23%,69%,31%,2.62
