YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2017/18,Finals,1,Real Madrid CF  ,1,1,0,0,3,1,+2,W,23%,77%,0%,100%,92%,3.77
2017/18,Finals,2,Liverpool FC   ,1,0,0,1,1,3,-2,L,40%,60%,7%,93%,87%,4.40
