YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2014/15,OVERALL,1,Real Madrid,24,18.7,210,55.7,88.1,12.8,7.24
2014/15,OVERALL,2,Barcelona  ,32,14.8,181,58.6,88.2,10.1,7.22
2014/15,OVERALL,3,Chelsea  ,18,15,130,52.9,86.2,13.4,7.21
2014/15,OVERALL,4,Atletico Madrid,15,12.6,282,45.3,75.8,24.6,7.11
2014/15,OVERALL,5,Arsenal  ,18,12.6,141,55.6,84.9,16.6,7.10
2014/15,OVERALL,6,Bayern Munich,33,17.2,242,60.7,87.9,12,7.10
2014/15,OVERALL,7,FC Porto,25,12.9,191,55.7,82.3,15.1,7.09
2014/15,OVERALL,8,Borussia Dortmund,15,14.6,40,52.1,83.1,13.9,7.00
2014/15,OVERALL,9,Juventus  ,17,12.7,250,54.1,84.1,17.4,6.94
2014/15,OVERALL,10,Paris Saint-Germain,13,11.9,141,49.4,87.6,12.8,6.94
2014/15,OVERALL,11,Anderlecht  ,8,11.8,100,43.4,80.0,10,6.92
2014/15,OVERALL,12,Monaco  ,7,9.7,220,44.9,74.9,16.2,6.92
2014/15,OVERALL,13,Bayer Leverkusen,8,13.9,192,51.6,71.7,23.8,6.91
2014/15,OVERALL,14,Shakhtar Donetsk,15,8.9,201,47.4,79.3,11.5,6.90
2014/15,OVERALL,15,Sporting CP,12,17.2,151,49.2,79.9,15.2,6.81
2014/15,OVERALL,16,Benfica  ,2,11.7,143,51.1,75.8,19.3,6.80
2014/15,OVERALL,17,Athletic Bilbao,5,13.5,170,50.3,73.7,21.8,6.77
2014/15,OVERALL,18,Ajax  ,8,11.2,141,52.8,87.5,7.8,6.77
2014/15,OVERALL,19,Schalke 04,13,14.3,110,50.8,83.9,13.8,6.75
2014/15,OVERALL,20,Manchester City,10,12,193,48.4,84.4,12.8,6.75
2014/15,OVERALL,21,Olympiacos  ,10,11.3,100,47.8,81.6,14.3,6.75
2014/15,OVERALL,22,Liverpool  ,5,13,81,49.5,84.7,13.2,6.74
2014/15,OVERALL,23,Zenit St.,Petersburg,4,10,150,53.2,78.9,19.2
2014/15,OVERALL,24,Roma  ,8,10.5,70,48.6,84.4,8.8,6.73
2014/15,OVERALL,25,FC Basel,1893,8,11.9,222,46.2,81.1,10
2014/15,OVERALL,26,CSKA Moscow,6,12,100,38.1,77.9,7.7,6.63
2014/15,OVERALL,27,Malmoe FF,4,11.2,152,43.4,77.0,14.2,6.54
2014/15,OVERALL,28,Ludogorets Razgrad,5,12.3,131,47.9,82.4,7.7,6.52
2014/15,OVERALL,29,Maribor  ,4,11,120,43.4,77.5,10.2,6.47
2014/15,OVERALL,30,Galatasaray  ,4,15.2,161,50.4,84.7,10.2,6.45
2014/15,OVERALL,31,APOEL Nicosia,1,5.2,71,33.4,76.1,12.3,6.40
2014/15,OVERALL,32,BATE Borisov,2,9.5,91,38.3,67.7,12,6.04
