YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2013/14,OVERALL,1,Real Madrid,41,16.2,241,52.1,86.2,13.7,7.31
2013/14,OVERALL,2,Barcelona  ,21,14.8,200,64.2,90.2,11.1,7.19
2013/14,OVERALL,3,Bayern Munich,24,19.9,132,65.2,89.7,12.9,7.15
2013/14,OVERALL,4,Paris Saint-Germain,25,11.8,191,59.8,89.7,11.2,7.12
2013/14,OVERALL,5,Atletico Madrid,26,13.9,340,46.2,76.6,16.1,7.06
2013/14,OVERALL,6,Chelsea  ,19,12.1,250,49.7,82.2,16.8,7.00
2013/14,OVERALL,7,Manchester United,17,10.2,161,49.8,80.5,17.7,7.00
2013/14,OVERALL,8,Borussia Dortmund,18,14.5,191,47.3,78.9,13.5,6.93
2013/14,OVERALL,9,Manchester City,19,13.9,212,48.4,83.1,13.4,6.86
2013/14,OVERALL,10,Olympiacos  ,12,12.3,210,45.7,76.6,13.9,6.86
2013/14,OVERALL,11,FC Porto,4,18,131,57.3,82.7,14.5,6.83
2013/14,OVERALL,12,Arsenal  ,9,8.4,112,49.9,82.9,17.5,6.80
2013/14,OVERALL,13,Napoli  ,10,12.8,110,49.4,80.8,12.2,6.80
2013/14,OVERALL,14,AC Milan,9,9.5,181,44.7,80.5,10.6,6.79
2013/14,OVERALL,15,Zenit St.,Petersburg,9,13.4,161,55.7,80.9,12.1
2013/14,OVERALL,16,FC Basel,1893,5,10,131,50.8,80.6,14
2013/14,OVERALL,17,Ajax  ,5,13.8,101,54.0,84.6,14.7,6.76
2013/14,OVERALL,18,Shakhtar Donetsk,7,12.2,130,48.9,81.4,11.5,6.76
2013/14,OVERALL,19,Juventus  ,9,20.2,91,50.4,83.4,15.2,6.74
2013/14,OVERALL,20,Schalke 04,8,12.8,180,49.7,83.4,13.6,6.72
2013/14,OVERALL,21,Austria Wien,5,9.8,170,39.8,73.7,12.7,6.71
2013/14,OVERALL,22,Galatasaray  ,9,10.3,140,51.0,82.0,15.6,6.70
2013/14,OVERALL,23,Bayer Leverkusen,10,13.4,192,45.9,81.1,13.9,6.69
2013/14,OVERALL,24,Benfica  ,8,12.2,110,49.7,80.7,11.3,6.69
2013/14,OVERALL,25,FC FCSB,2,10.7,130,43.8,77.7,15.7,6.68
2013/14,OVERALL,26,FC Copenhagen,4,9,90,44.9,81.6,11.5,6.67
2013/14,OVERALL,27,CSKA Moscow,8,12.8,52,42.2,79.7,9.2,6.63
2013/14,OVERALL,28,Marseille  ,5,10.2,131,46.1,82.2,11.2,6.59
2013/14,OVERALL,29,Real Sociedad,1,12.8,120,49.5,78.2,15.2,6.52
2013/14,OVERALL,30,Anderlecht  ,4,10.3,164,43.4,79.0,10,6.48
2013/14,OVERALL,31,Celtic  ,3,10.3,142,38.8,78.2,12.3,6.46
2013/14,OVERALL,32,Viktoria Plzen,6,11.8,120,42.0,75.5,9,6.44
