YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2017/18,OVERALL,1,Paris Saint-Germain,27,15.3,111,53.2,88.7,10.1,7.24
2017/18,OVERALL,2,Liverpool  ,41,15.7,201,50.1,81.1,16.8,7.13
2017/18,OVERALL,3,Real Madrid,33,17.3,210,55.8,88.6,10.6,7.09
2017/18,OVERALL,4,Manchester United,13,14,100,55.3,84.4,17,7.01
2017/18,OVERALL,5,Bayern Munich,26,18.8,230,56.3,86.5,15.3,7.00
2017/18,OVERALL,6,Tottenham  ,18,14.6,111,49.6,83.5,12.6,6.99
2017/18,OVERALL,7,Manchester City,20,13.5,190,62.6,89.2,11.6,6.99
2017/18,OVERALL,8,Barcelona  ,17,12.9,171,61.1,87.9,9.1,6.90
2017/18,OVERALL,9,Roma  ,21,14.5,151,50.8,82.6,16.2,6.85
2017/18,OVERALL,10,Chelsea  ,17,15.6,100,47.2,84.1,9.1,6.84
2017/18,OVERALL,11,Atletico Madrid,5,17.7,51,50.9,83.3,14.2,6.83
2017/18,OVERALL,12,FC Basel,1893,13,10.4,140,39.1,75.7,11.8
2017/18,OVERALL,13,Sevilla  ,15,15.9,191,55.6,84.7,14.5,6.82
2017/18,OVERALL,14,FC Porto,15,12.6,141,46.3,77.1,16.5,6.82
2017/18,OVERALL,15,Besiktas  ,12,10.3,201,48.5,76.6,15,6.80
2017/18,OVERALL,16,Juventus  ,14,12.7,252,49.5,84.1,12.9,6.78
2017/18,OVERALL,17,RasenBallsport Leipzig,10,15.2,91,54.4,78.7,15.2,6.74
2017/18,OVERALL,18,Shakhtar Donetsk,11,10.8,152,48.6,83.9,7.9,6.73
2017/18,OVERALL,19,Spartak Moscow,9,12.7,120,47.7,81.7,13.5,6.69
2017/18,OVERALL,20,Napoli  ,11,12.2,130,52.6,85.6,9.2,6.68
2017/18,OVERALL,21,CSKA Moscow,8,12,130,45.3,76.2,19.2,6.67
2017/18,OVERALL,22,Sporting CP,8,9.5,190,43.5,79.6,14.7,6.66
2017/18,OVERALL,23,Borussia Dortmund,7,14.3,100,56.3,86.5,12.2,6.65
2017/18,OVERALL,24,Olympiacos  ,4,7.7,150,39.8,80.4,7.2,6.47
2017/18,OVERALL,25,Celtic  ,5,8.8,60,44.9,84.7,5.8,6.45
2017/18,OVERALL,26,Qarabag FK,2,6.3,123,45.1,81.1,11,6.45
2017/18,OVERALL,27,Monaco  ,6,11.3,141,47.6,74.8,20.7,6.44
2017/18,OVERALL,28,Feyenoord  ,5,9.2,151,41.1,77.8,8.5,6.42
2017/18,OVERALL,29,Maribor  ,3,10.3,90,37.4,78.5,7.8,6.37
2017/18,OVERALL,30,Benfica  ,1,14.7,112,54.7,84.0,11.2,6.35
2017/18,OVERALL,31,Anderlecht  ,2,9.7,61,43.8,81.9,12.5,6.34
2017/18,OVERALL,32,APOEL Nicosia,2,8.3,130,36.3,74.7,12,6.30
