YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2012/13,OVERALL,1,Bayern Munich,31,16.8,301,53.0,84.6,15.1,7.12
2012/13,OVERALL,2,Juventus  ,17,16.4,200,48.5,82.0,10.3,7.09
2012/13,OVERALL,3,Paris Saint-Germain,20,13.2,221,47.0,83.6,12.1,7.08
2012/13,OVERALL,4,Malaga  ,16,10.3,230,48.0,77.9,13,7.06
2012/13,OVERALL,5,Real Madrid,26,19.3,212,52.3,82.0,13.8,7.05
2012/13,OVERALL,6,Schalke 04,13,17.9,170,53.2,80.6,17.3,7.04
2012/13,OVERALL,7,Borussia Dortmund,24,14.4,140,46.1,78.1,14.8,7.03
2012/13,OVERALL,8,Chelsea  ,16,15.7,60,51.6,86.3,10.3,7.02
2012/13,OVERALL,9,FC Porto,11,14.4,131,54.7,83.6,10.3,6.95
2012/13,OVERALL,10,Manchester United,11,14.6,121,54.4,86.4,13.9,6.89
2012/13,OVERALL,11,Barcelona  ,18,14.8,251,66.1,90.5,6.7,6.89
2012/13,OVERALL,12,Valencia  ,14,9.6,192,52.7,85.0,9.6,6.86
2012/13,OVERALL,13,AC Milan,9,13.5,220,45.3,78.9,11.6,6.86
2012/13,OVERALL,14,Arsenal  ,13,7.8,260,53.2,83.5,17.6,6.84
2012/13,OVERALL,15,Galatasaray  ,14,14.3,260,51.9,80.5,11.4,6.84
2012/13,OVERALL,16,Benfica  ,5,17.8,160,45.1,74.9,15,6.83
2012/13,OVERALL,17,Shakhtar Donetsk,14,14.8,150,49.7,83.5,7.9,6.83
2012/13,OVERALL,18,Manchester City,7,11.7,150,53.2,84.8,16.2,6.77
2012/13,OVERALL,19,Zenit St.,Petersburg,6,12.7,151,51.2,81.3,10.8
2012/13,OVERALL,20,Olympiacos  ,9,11,130,43.3,73.9,14.3,6.75
2012/13,OVERALL,21,Celtic  ,9,10.5,160,41.3,74.9,10.4,6.71
2012/13,OVERALL,22,CFR Cluj,9,9.8,81,36.3,66.2,13.8,6.71
2012/13,OVERALL,23,Anderlecht  ,4,10.3,171,50.5,81.9,8.7,6.69
2012/13,OVERALL,24,BATE Borisov,9,9.2,161,46.6,81.1,8.3,6.67
2012/13,OVERALL,25,Ajax  ,8,12.2,70,53.6,85.0,12.3,6.61
2012/13,OVERALL,26,Dynamo Kyiv,6,9.5,130,47.6,76.4,9.8,6.60
2012/13,OVERALL,27,Braga  ,7,16.8,121,51.3,83.5,8.7,6.58
2012/13,OVERALL,28,Montpellier  ,6,14,151,50.6,81.9,11.3,6.58
2012/13,OVERALL,29,Lille  ,4,13.8,162,45.4,80.5,17.7,6.52
2012/13,OVERALL,30,Spartak Moscow,7,9.8,163,46.8,79.8,9,6.52
2012/13,OVERALL,31,Dinamo Zagreb,1,8.8,80,45.5,79.6,6.5,6.42
2012/13,OVERALL,32,FC Nordsjaelland,4,7.2,140,48.2,84.8,6.5,6.28
