YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2011/12,OVERALL,1,Chelsea  ,25,14.8,311,47.6,82.5,8.7,7.19
2011/12,OVERALL,2,Real Madrid,35,19.1,221,56.1,85.9,7.6,7.15
2011/12,OVERALL,3,Barcelona  ,35,19.5,170,68.2,90.5,5.4,7.15
2011/12,OVERALL,4,Bayern Munich,26,19.1,271,55.1,86.2,7,7.11
2011/12,OVERALL,5,Valencia  ,12,16.7,110,58.5,85.1,7.8,7.04
2011/12,OVERALL,6,Manchester United,11,14.5,81,59.2,84.5,10.5,7.00
2011/12,OVERALL,7,Lyon  ,10,17.8,150,50.9,82.1,8.9,7.00
2011/12,OVERALL,8,Ajax  ,6,17,60,55.0,87.1,6.8,6.95
2011/12,OVERALL,9,Marseille  ,9,11.4,193,48.7,76.9,12.7,6.92
2011/12,OVERALL,10,Olympiacos  ,8,13.2,110,46.0,73.5,14.8,6.92
2011/12,OVERALL,11,Zenit St.Petersburg,10,15.4,161,52.4,75.9,6.9
2011/12,OVERALL,12,Napoli  ,14,12.1,191,41.7,76.3,6,6.88
2011/12,OVERALL,13,Inter  ,10,12.5,160,47.0,77.6,8.4,6.87
2011/12,OVERALL,14,Arsenal  ,10,9.1,170,53.3,79.7,11.9,6.85
2011/12,OVERALL,15,Trabzonspor  ,3,10.2,150,49.6,78.9,8,6.85
2011/12,OVERALL,16,AC Milan,16,13.8,241,48.5,79.8,6.1,6.83
2011/12,OVERALL,17,Benfica  ,13,15.7,232,48.6,78.2,10.2,6.83
2011/12,OVERALL,18,CSKA Moscow,11,11.3,141,46.8,76.5,6,6.83
2011/12,OVERALL,19,FC Porto,7,21.3,171,53.0,78.1,8.3,6.82
2011/12,OVERALL,20,Manchester City,9,16,100,58.0,88.3,7.8,6.81
2011/12,OVERALL,21,Shakhtar Donetsk,6,15,152,52.1,81.0,4.7,6.81
2011/12,OVERALL,22,Lille  ,6,16.2,150,55.5,82.3,11.3,6.80
2011/12,OVERALL,23,Borussia Dortmund,6,14,70,51.8,74.1,12.7,6.71
2011/12,OVERALL,24,FC Basel,1893,12,11,161,48.9,81.6,7.9
2011/12,OVERALL,25,Bayer Leverkusen,10,11.4,200,44.9,76.1,9,6.64
2011/12,OVERALL,26,APOEL Nicosia,9,6.1,251,41.1,72.4,4.8,6.58
2011/12,OVERALL,27,Genk  ,2,10,90,40.1,78.7,4.8,6.56
2011/12,OVERALL,28,Viktoria Plzen,4,11.5,151,39.1,76.5,3.5,6.55
2011/12,OVERALL,29,BATE Borisov,3,10.8,80,41.4,78.0,5.2,6.41
2011/12,OVERALL,30,Villarreal  ,2,10,200,45.9,82.8,4,6.41
2011/12,OVERALL,31,Otelul Galati,3,10.8,132,40.9,73.2,8.7,6.37
2011/12,OVERALL,32,Dinamo Zagreb,3,10.3,161,40.3,80.1,4.5,6.31
