YEAR,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING
2016/17,OVERALL,1,Real Madrid,36,19.5,190,53.5,87.2,10.7,7.11
2016/17,OVERALL,2,Bayern Munich,27,19.3,162,61.9,88.6,15,7.06
2016/17,OVERALL,3,Barcelona  ,26,13.1,251,60.5,87.4,7,7.03
2016/17,OVERALL,4,Atletico Madrid,15,13.3,210,48.5,80.1,17.8,7.01
2016/17,OVERALL,5,Borussia Dortmund,28,15.4,190,59.3,86.2,12.1,6.99
2016/17,OVERALL,6,Juventus  ,22,13.8,272,54.0,85.5,12.5,6.98
2016/17,OVERALL,7,FC Copenhagen,7,11.2,71,52.5,79.1,24.5,6.94
2016/17,OVERALL,8,Bayer Leverkusen,10,13.3,160,50.6,76.8,18,6.94
2016/17,OVERALL,9,Lyon  ,5,17.5,140,51.4,85.0,11,6.94
2016/17,OVERALL,10,Arsenal  ,20,11.8,132,49.1,84.9,12.8,6.93
2016/17,OVERALL,11,Sevilla  ,9,13,152,57.1,83.5,13.9,6.92
2016/17,OVERALL,12,Paris Saint-Germain,18,15.4,151,54.1,87.9,11.6,6.90
2016/17,OVERALL,13,Tottenham  ,6,13.8,60,59.1,83.2,15.8,6.89
2016/17,OVERALL,14,Manchester City,18,13.1,142,54.8,85.8,11.6,6.88
2016/17,OVERALL,15,Monaco  ,22,12.2,280,46.4,78.9,15,6.88
2016/17,OVERALL,16,FC Porto,9,13.3,152,49.9,81.9,17.8,6.83
2016/17,OVERALL,17,Leicester  ,11,10.7,190,42.2,71.0,19.5,6.80
2016/17,OVERALL,18,Benfica  ,11,11.1,130,45.8,79.6,9.4,6.72
2016/17,OVERALL,19,FC Rostov,6,5.5,100,37.2,65.5,19,6.67
2016/17,OVERALL,20,PSV Eindhoven,4,9.3,60,44.7,80.1,20.7,6.66
2016/17,OVERALL,21,Napoli  ,13,13.5,100,52.4,85.5,11,6.62
2016/17,OVERALL,22,Dynamo Kyiv,8,11.2,131,50.5,83.5,9.2,6.62
2016/17,OVERALL,23,Borussia M.Gladbach,5,9.5,82,41.4,79.4,8.3,6.61
2016/17,OVERALL,24,Sporting CP,5,12,142,48.9,82.5,17.3,6.61
2016/17,OVERALL,25,CSKA Moscow,5,8.3,70,41.2,72.5,15.7,6.61
2016/17,OVERALL,26,Besiktas  ,9,9.3,132,49.2,81.8,12.7,6.56
2016/17,OVERALL,27,Ludogorets Razgrad,6,6.5,90,46.3,83.9,8.5,6.55
2016/17,OVERALL,28,Celtic  ,5,9,80,44.8,82.8,9.5,6.49
2016/17,OVERALL,29,Club Bruges,2,8.5,140,48.9,78.8,20.7,6.47
2016/17,OVERALL,30,FC Basel,1893,3,10.3,111,42.6,80.4,9.3
2016/17,OVERALL,31,Legia Warszawa,9,9.8,150,39.9,78.6,9.2,6.42
2016/17,OVERALL,32,Dinamo Zagreb,0,6,111,36.3,73.9,8.2,6.32
