YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2016/17,8th Finals,1,Bayern München  ,2,2,0,0,10,2,8,WW,20%,70%,10%,80%,80%,4.1,OVERALL,1,Real Madrid,36,19.5,190.0,53.5,87.2,10.7,7.11,Scorers,1,Cristiano Ronaldo,Real Madrid,13,12,Assists,1,Neymar  ,Barcelona  ,9,8
2016/17,8th Finals,2,Real Madrid  ,2,2,0,0,6,2,4,WW,8%,92%,0%,100%,100%,4.15,OVERALL,2,Bayern Munich,27,19.3,162.0,61.9,88.6,15.0,7.06,Scorers,2,Lionel Messi,Barcelona  ,9,11,Assists,2,Ousmane Dembélé,Borussia Dortmund,10,6
2016/17,8th Finals,3,Juventus   ,2,2,0,0,3,0,3,WW,69%,31%,15%,69%,38%,2.23,OVERALL,3,Barcelona  ,26,13.1,251.0,60.5,87.4,7.0,7.03,Scorers,3,Robert Lewandowski,Bayern Munich,9,8,Assists,3,Cristiano Ronaldo,Real Madrid,13,5
2016/17,8th Finals,4,Atlético Madrid,2,1,1,0,4,2,2,WD,50%,33%,25%,50%,33%,2.0,OVERALL,4,Atletico Madrid,15,13.3,210.0,48.5,80.1,17.8,7.01,Scorers, ,Edinson Cavani,Paris Saint-Germain,8,8,Assists, ,Dani Carvajal,Real Madrid,11,5
2016/17,8th Finals,5,Borussia Dortmund,2,1,0,1,4,1,3,LW,30%,60%,10%,80%,80%,4.4,OVERALL,5,Borussia Dortmund,28,15.4,190.0,59.3,86.2,12.1,6.99,Scorers,5,Pierre-Emerick Aubameyang,Borussia Dortmund,9,7,Assists,5,Thomas Lemar,AS Monaco,12,4
2016/17,8th Finals,6,FC Barcelona    ,2,1,0,1,6,5,1,LW,50%,30%,30%,90%,80%,3.8,OVERALL,6,Juventus  ,22,13.8,272.0,54.0,85.5,12.5,6.98,Scorers,6,Antoine Griezmann,Atletico Madrid,12,6,Assists, ,Dani Alves,Juventus  ,12,4
2016/17,8th Finals,7,Leicester City  ,2,1,0,1,3,2,1,LW,50%,30%,30%,60%,40%,2.1,OVERALL,7,FC Copenhagen,7,11.2,71.0,52.5,79.1,24.5,6.94,Scorers, ,Kylian Mbappé,AS Monaco,9,6,Assists,7,Miralem Pjanic,Juventus  ,12,3
2016/17,8th Finals,8,Manchester City ,2,1,0,1,6,6,0,WL,30%,60%,10%,90%,70%,4.0,OVERALL,8,Bayer Leverkusen,10,13.3,160.0,50.6,76.8,18.0,6.94,Scorers,8,Karim Benzema,Real Madrid,13,5,Assists, ,Fabinho  ,AS Monaco,10,3
2016/17,8th Finals,9,AS Monaco ,2,1,0,1,6,6,0,LW,13%,75%,13%,94%,75%,3.31,OVERALL,9,Lyon  ,5,17.5,140.0,51.4,85.0,11.0,6.94,Scorers, ,Gonzalo Higuaín,Juventus  ,12,5,Assists, ,Thiago  ,Bayern Munich,9,3
2016/17,8th Finals,10,Paris Saint-Germain  ,2,1,0,1,5,6,-1,WL,25%,75%,0%,100%,88%,3.88,OVERALL,10,Arsenal  ,20,11.8,132.0,49.1,84.9,12.8,6.93,Scorers, ,Dries Mertens,Napoli  ,8,5,Assists, ,Douglas Costa,Bayern Munich,9,3
2016/17,8th Finals,11,Sevilla FC    ,2,1,0,1,2,3,-1,WL,63%,25%,38%,50%,38%,1.88,OVERALL,11,Sevilla  ,9,13.0,152.0,57.1,83.5,13.9,6.92,Scorers, ,Radamel Falcao,AS Monaco,8,5,Assists, ,Faouzi Ghoulam,Napoli  ,8,3
2016/17,8th Finals,12,SL Benfica    ,2,1,0,1,1,4,-3,WL,38%,50%,13%,75%,50%,3.13,OVERALL,12,Paris Saint-Germain,18,15.4,151.0,54.1,87.9,11.6,6.9,Scorers, ,Sergio Agüero,Manchester City,7,5,Assists, ,Alexis Sánchez,Arsenal  ,8,3
2016/17,8th Finals,13,Bayer Leverkusen  ,2,0,1,1,2,4,-2,LD,50%,50%,25%,63%,38%,2.25,OVERALL,13,Tottenham  ,6,13.8,60.0,59.1,83.2,15.8,6.89,Scorers,13,Saúl Ñíguez,Atletico Madrid,12,4,Assists, ,Mesut Özil,Arsenal  ,8,3
2016/17,8th Finals,14,FC Porto    ,2,0,0,2,0,3,-3,LL,40%,30%,40%,60%,30%,2.0,OVERALL,14,Manchester City,18,13.1,142.0,54.8,85.8,11.6,6.88,Scorers, ,Paulo Dybala,Juventus  ,11,4,Assists, ,Benjamin Mendy,AS Monaco,7,3
2016/17,8th Finals,15,SSC Napoli    ,2,0,0,2,2,6,-4,LL,13%,88%,13%,88%,75%,3.38,OVERALL,15,Monaco  ,22,12.2,280.0,46.4,78.9,15.0,6.88,Scorers, ,Riyad Mahrez,Leicester City,9,4,Assists, ,Raheem Sterling,Manchester City,7,3
2016/17,8th Finals,16,Arsenal  ,2,0,0,2,2,10,-8,LL,25%,75%,0%,100%,75%,4.5,OVERALL,16,FC Porto,9,13.3,152.0,49.9,81.9,17.8,6.83,Scorers, ,Neymar  ,Barcelona  ,9,4,Assists, ,Ludwig Augustinsson,FC Copenhagen,6,3
2016/17,Quarter Finals,1,AS Monaco ,2,2,0,0,6,3,3,WW,13%,75%,13%,94%,75%,3.31,OVERALL,17,Leicester  ,11,10.7,190.0,42.2,71.0,19.5,6.8,Scorers, ,Mesut Özil,Arsenal  ,8,4,Assists, ,Layvin Kurzawa,Paris Saint-Germain,5,3
2016/17,Quarter Finals,2,Real Madrid  ,2,2,0,0,6,3,3,WW,8%,92%,0%,100%,100%,4.15,OVERALL,18,Benfica  ,11,11.1,130.0,45.8,79.6,9.4,6.72,Scorers, ,André Silva,FC Porto,8,4,Assists,18,Antoine Griezmann,Atletico Madrid,12,2
2016/17,Quarter Finals,3,Juventus    ,2,1,1,0,3,0,3,WD,69%,31%,15%,69%,38%,2.23,OVERALL,19,FC Rostov,6,5.5,100.0,37.2,65.5,19.0,6.67,Scorers, ,Ángel Di María,Paris Saint-Germain,7,4,Assists, ,Marcelo  ,Real Madrid,11,2
2016/17,Quarter Finals,4,Atlético Madrid,2,1,1,0,2,1,1,WD,50%,33%,25%,50%,33%,2.0,OVERALL,20,PSV Eindhoven,4,9.3,60.0,44.7,80.1,20.7,6.66,Scorers, ,Theo Walcott,Arsenal  ,6,4,Assists, ,Sergio Ramos,Real Madrid,11,2
2016/17,Quarter Finals,5,Leicester City  ,2,0,1,1,1,2,-1,LD,50%,30%,30%,60%,40%,2.1,OVERALL,21,Napoli  ,13,13.5,100.0,52.4,85.5,11.0,6.62,Scorers, ,Arda Turan,Barcelona  ,5,4,Assists, ,Christian Pulisic,Borussia Dortmund,10,2
2016/17,Quarter Finals,6,FC Barcelona    ,2,0,1,1,0,3,-3,LD,50%,30%,30%,90%,80%,3.8,OVERALL,22,Dynamo Kyiv,8,11.2,131.0,50.5,83.5,9.2,6.62,Scorers, ,Marco Reus,Borussia Dortmund,4,4,Assists, ,Casemiro  ,Real Madrid,9,2
