YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2012/13,8th Finals,1,Juventus  ,2,2,0,0,5,0,5,WW,50%,30%,20%,90%,40%,2.5,OVERALL,1,Bayern Munich,31,16.8,301.0,53.0,84.6,15.1,7.12,Scorers,1,Cristiano Ronaldo,Real Madrid,12,12,Assists,1,Zlatan Ibrahimovic,Paris Saint-Germain,9,7
2012/13,8th Finals,2,Borussia Dortmund  ,2,1,1,0,5,2,3,DW,31%,62%,15%,77%,54%,2.54,OVERALL,2,Juventus  ,17,16.4,200.0,48.5,82.0,10.3,7.09,Scorers,2,Robert Lewandowski,Borussia Dortmund,13,10,Assists,2,Mario Götze,Borussia Dortmund,11,5
2012/13,8th Finals,3,Real Madrid ,2,1,1,0,3,2,1,DW,17%,83%,0%,100%,83%,3.66,OVERALL,3,Paris Saint-Germain,20,13.2,221.0,47.0,83.6,12.1,7.08,Scorers,3,Thomas Müller,Bayern Munich,13,8,Assists,3,Philipp Lahm,Bayern Munich,12,4
2012/13,8th Finals,4,Paris Saint-Germain    ,2,1,1,0,3,2,1,WD,30%,50%,10%,90%,50%,2.8,OVERALL,4,Malaga  ,16,10.3,230.0,48.0,77.9,13.0,7.06,Scorers, ,Lionel Messi,Barcelona  ,11,8,Assists, ,Bastian Schweinsteiger,Bayern Munich,12,4
2012/13,8th Finals,5,Galatasaray  ,2,1,1,0,4,3,1,DW,10%,60%,30%,80%,50%,2.8,OVERALL,5,Real Madrid,26,19.3,212.0,52.3,82.0,13.8,7.05,Scorers, ,Burak Yilmaz,Galatasaray  ,9,8,Assists, ,Ángel Di María,Real Madrid,11,4
2012/13,8th Finals,6,FC Barcelona    ,2,1,0,1,4,2,2,LW,33%,42%,30%,92%,75%,2.9,OVERALL,6,Schalke 04,13,17.9,170.0,53.2,80.6,17.3,7.04,Scorers,6,Karim Benzema,Real Madrid,10,5,Assists, ,Xavi  ,Barcelona  ,11,4
2012/13,8th Finals,7,Malaga  ,2,1,0,1,2,1,1,LW,40%,40%,20%,70%,70%,2.5,OVERALL,7,Borussia Dortmund,24,14.4,140.0,46.1,78.1,14.8,7.03,Scorers, ,Ezequiel Lavezzi,Paris Saint-Germain,9,5,Assists, ,Selcuk Inan, Galatasaray,10,4
2012/13,8th Finals,8,Bayern München ,2,1,0,1,3,3,0,WL,38%,62%,8%,92%,62%,3.23,OVERALL,8,Chelsea  ,16,15.7,60.0,51.6,86.3,10.3,7.02,Scorers, ,Jonas  ,Valencia  ,8,5,Assists, ,Mesut Özil,Real Madrid,10,4
2012/13,8th Finals,9,Arsenal,2,1,0,1,2,3,-1,LW,25%,50%,25%,100%,63%,3.0,OVERALL,9,FC Porto,11,14.4,131.0,54.7,83.6,10.3,6.95,Scorers, ,Oscar  ,Chelsea  ,6,5,Assists, ,Karim Benzema,Real Madrid,10,4
2012/13,8th Finals,10,FC Porto    ,2,1,0,1,1,2,-1,WL,63%,25%,25%,63%,38%,2.13,OVERALL,10,Manchester United,11,14.6,121.0,54.4,86.4,13.9,6.89,Scorers, ,Alan  ,Braga  ,6,5,Assists, ,Olivier Giroud,Arsenal  ,7,4
2012/13,8th Finals,11,AC Milan    ,2,1,0,1,2,4,-2,WL,25%,38%,50%,63%,38%,2.38,OVERALL,11,Barcelona  ,18,14.8,251.0,66.1,90.5,6.7,6.89,Scorers,11,Marco Reus,Borussia Dortmund,13,4,Assists, ,Christian Eriksen,Ajax Amsterdam,6,4
2012/13,8th Finals,12,Valencia CF   ,2,0,1,1,2,3,-1,DL,38%,63%,0%,88%,50%,2.75,OVERALL,12,Valencia  ,14,9.6,192.0,52.7,85.0,9.6,6.86,Scorers, ,Arjen Robben,Bayern Munich,9,4,Assists,12,Nordin Amrabat,Galatasaray  ,10,3
2012/13,8th Finals,13,Manchester United  ,2,0,1,1,2,3,-1,DL,25%,63%,13%,63%,50%,2.5,OVERALL,13,AC Milan,9,13.5,220.0,45.3,78.9,11.6,6.86,Scorers, ,Eliseu  ,Málaga  ,7,4,Assists, ,Andrea Pirlo,Juventus  ,10,3
2012/13,8th Finals,14,Schalke 04   ,2,0,1,1,3,4,-1,DL,25%,75%,0%,88%,50%,2.88,OVERALL,14,Arsenal  ,13,7.8,260.0,53.2,83.5,17.6,6.84,Scorers, ,Roberto Soldado,Valencia  ,7,4,Assists, ,Isco  ,Málaga  ,8,3
2012/13,8th Finals,15,Shakhtar Donetsk  ,2,0,1,1,2,5,-3,DL,13%,63%,25%,88%,63%,3.38,OVERALL,15,Galatasaray  ,14,14.3,260.0,51.9,80.5,11.4,6.84,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,7,4,Assists, ,Tino Costa, Valencia,8,3
2012/13,8th Finals,16,Celtic  ,2,0,0,2,0,5,-5,LL,13%,63%,40%,75%,63%,2.75,OVERALL,16,Benfica  ,5,17.8,160.0,45.1,74.9,15.0,6.83,Scorers, ,Fabio Quagliarella,Juventus  ,7,4,Assists, ,Claudio Marchisio,Juventus  ,8,3
