YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2014/15,8th Finals,1,Juventus   ,2,2,0,0,5,1,4,WW,46%,38%,31%,62%,38%,2.08,OVERALL,1,Real Madrid,24,18.7,210.0,55.7,88.1,12.8,7.24,Scorers,1,Lionel Messi,Barcelona  ,13,10,Assists,1,Andrés Iniesta,Barcelona  ,11,5.0
2014/15,8th Finals,2,FC Barcelona    ,2,2,0,0,3,1,2,WW,46%,54%,0%,85%,69%,3.23,OVERALL,2,Barcelona  ,32,14.8,181.0,58.6,88.2,10.1,7.22,Scorers, ,Neymar  ,Barcelona  ,12,10,Assists,2,Lionel Messi,Barcelona  ,13,4.0
2014/15,8th Finals,3,Bayern München  ,2,1,1,0,7,0,7,DW,50%,42%,17%,75%,67%,3.83,OVERALL,3,Chelsea  ,18,15.0,130.0,52.9,86.2,13.4,7.21,Scorers, ,Cristiano Ronaldo,Real Madrid,12,10,Assists, ,Dani Alves,Barcelona  ,11,4.0
2014/15,8th Finals,4,FC Porto    ,2,1,1,0,5,1,4,DW,50%,50%,0%,92%,58%,3.33,OVERALL,4,Atletico Madrid,15,12.6,282.0,45.3,75.8,24.6,7.11,Scorers,4,Luiz Adriano,Shakhtar Donetsk,7,9,Assists, ,Héctor Herrera,FC Porto,9,4.0
2014/15,8th Finals,5,Real Madrid  ,2,1,0,1,5,4,1,WL,58%,42%,8%,67%,50%,2.75,OVERALL,5,Arsenal  ,18,12.6,141.0,55.6,84.9,16.6,7.1,Scorers,5,Carlos Tevez,Juventus  ,13,7,Assists, ,Koke  ,Atletico Madrid,9,4.0
2014/15,8th Finals,6,Arsenal   ,2,1,0,1,3,3,0,LW,40%,50%,20%,80%,50%,3.0,OVERALL,6,Bayern Munich,33,17.2,242.0,60.7,87.9,12.0,7.1,Scorers, ,Luis Suárez,Barcelona  ,10,7,Assists,6,Toni Kroos,Real Madrid,12,3.0
2014/15,8th Finals,7,AS Monaco FC  ,2,1,0,1,3,3,0,WL,60%,10%,60%,30%,10%,1.2,OVERALL,7,FC Porto,25,12.9,191.0,55.7,82.3,15.1,7.09,Scorers, ,Thomas Müller,Bayern Munich,10,7,Assists, ,Cristiano Ronaldo,Real Madrid,12,3.0
2014/15,8th Finals,8,Atlético Madrid,2,1,0,1,1,1,0,LW,70%,10%,40%,40%,30%,2.0,OVERALL,8,Borussia Dortmund,15,14.6,40.0,52.1,83.1,13.9,7.0,Scorers, ,Jackson Martínez,FC Porto,8,7,Assists, ,Luis Suárez,Barcelona  ,10,3.0
2014/15,8th Finals,9,Bayer Leverkusen  ,2,1,0,1,1,1,0,WL,40%,30%,40%,50%,40%,2.2,OVERALL,9,Juventus  ,17,12.7,250.0,54.1,84.1,17.4,6.94,Scorers,9,Robert Lewandowski,Bayern Munich,12,6,Assists, ,Thomas Müller,Bayern Munich,10,3.0
2014/15,8th Finals,10,Schalke 04  ,2,1,0,1,4,5,-1,LW,13%,63%,25%,88%,50%,4.0,OVERALL,10,Paris Saint-Germain,13,11.9,141.0,49.4,87.6,12.8,6.94,Scorers, ,Edinson Cavani,Paris Saint-Germain,10,6,Assists, ,Juanfran  ,Atletico Madrid,10,3.0
2014/15,8th Finals,11,Chelsea    ,2,0,2,0,3,3,0,DD,38%,63%,0%,88%,50%,3.25,OVERALL,11,Anderlecht  ,8,11.8,100.0,43.4,80.0,10.0,6.92,Scorers, ,Karim Benzema,Real Madrid,9,6,Assists, ,Pedro  ,Barcelona  ,9,3.0
2014/15,8th Finals,12,Paris Saint-Germain  ,2,0,2,0,3,3,0,DD,20%,70%,10%,80%,50%,2.9,OVERALL,12,Monaco  ,7,9.7,220.0,44.9,74.9,16.2,6.92,Scorers, ,Sergio Agüero,Manchester City,7,6,Assists, ,Cesc Fàbregas, Chelsea,8,3.0
2014/15,8th Finals,13,FC Basel 1893  ,2,0,1,1,1,5,-4,DL,25%,38%,38%,63%,38%,2.63,OVERALL,13,Bayer Leverkusen,8,13.9,192.0,51.6,71.7,23.8,6.91,Scorers,13,Álvaro Morata,Juventus  ,12,5,Assists, ,Pajtim Kasami, Olympiakos,6,3.0
2014/15,8th Finals,14,Shakhtar Donetsk  ,2,0,1,1,0,7,-7,DL,50%,25%,50%,63%,50%,3.25,OVERALL,14,Shakhtar Donetsk,15,8.9,201.0,47.4,79.3,11.5,6.9,Scorers, ,Mario Mandzukic,Atletico Madrid,10,5,Assists, ,Bastian Schweinsteiger,Bayern Munich,6,3.0
2014/15,8th Finals,15,Manchester City  ,2,0,0,2,1,3,-2,LL,13%,63%,25%,75%,50%,2.63,OVERALL,15,Sporting CP,12,17.2,151.0,49.2,79.9,15.2,6.81,Scorers, ,Yacine Brahimi,FC Porto,9,5,Assists, ,Lukasz Piszczek,Borussia Dortmund,5,3.0
2014/15,8th Finals,16,Borussia Dortmund,2,0,0,2,1,5,-4,LL,38%,38%,25%,100%,63%,3.0,OVERALL,16,Benfica  ,2,11.7,143.0,51.1,75.8,19.3,6.8,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,8,5,Assists,16,Juan Bernat,Bayern Munich,12,2.0
2014/15,Quarter Finals,1,FC Barcelona    ,2,2,0,0,5,1,4,WW,46%,54%,0%,85%,69%,3.23,OVERALL,17,Athletic Bilbao,5,13.5,170.0,50.3,73.7,21.8,6.77,Scorers,17,Mario Götze,Bayern Munich,11,4,Assists, ,Robert Lewandowski,Bayern Munich,12,2.0
2014/15,Quarter Finals,2,Juventus FC    ,2,1,1,0,1,0,1,WD,46%,38%,31%,62%,38%,2.08,OVERALL,18,Ajax  ,8,11.2,141.0,52.8,87.5,7.8,6.77,Scorers, ,Ciro Immobile,Borussia Dortmund,6,4,Assists, ,Jérôme Boateng,Bayern Munich,11,2.0
2014/15,Quarter Finals,3,Real Madrid CF  ,2,1,1,0,1,0,1,DW,58%,42%,8%,67%,50%,2.75,OVERALL,19,Schalke 04,13,14.3,110.0,50.8,83.9,13.8,6.75,Scorers, ,Nani, Sporting CP  ,5,4,Assists, ,Marcelo  ,Real Madrid,11,2.0
