YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2014/15,Quarter Finals,4,Bayern München  ,2,1,0,1,7,4,3,LW,50%,42%,17%,75%,67%,3.83,OVERALL,20,Manchester City,10,12.0,193.0,48.4,84.4,12.8,6.75,Scorers,20,Jérôme Boateng,Bayern Munich,11,3,Assists, ,Paul Pogba,Juventus  ,10,2.0
2014/15,Quarter Finals,5,FC Porto    ,2,1,0,1,4,7,-3,WL,50%,50%,0%,92%,58%,3.33,OVERALL,21,Olympiacos  ,10,11.3,100.0,47.8,81.6,14.3,6.75,Scorers, ,Héctor Herrera,FC Porto,9,3,Assists, ,Gregory van der Wiel, Paris Saint-Germain,10,
2014/15,Quarter Finals,6,Atlético Madrid,2,0,1,1,0,1,-1,DL,70%,10%,40%,40%,30%,2.0,OVERALL,22,Liverpool  ,5,13.0,81.0,49.5,84.7,13.2,6.74,Scorers, ,Ricardo Quaresma,FC Porto,9,3,Assists, ,Arda Turan,Atletico Madrid,10,2.0
2014/15,Quarter Finals,7,AS Monaco  ,2,0,1,1,0,1,-1,LD,60%,10%,60%,30%,10%,1.2,OVERALL,23,Zenit St.,Petersburg,4.0,10.0,150.0,53.2,78.9,19.2,Scorers, ,Derlis González,FC Basel,8,3,Assists, ,Yacine Brahimi,FC Porto,9,2.0
2014/15,Quarter Finals,8,Paris Saint-Germain  ,2,0,0,2,1,5,-4,LL,20%,70%,10%,80%,50%,2.9,OVERALL,24,Roma  ,8,10.5,70.0,48.6,84.4,8.8,6.73,Scorers, ,Son Heung-Min,Bayer Leverkusen,8,3,Assists, ,James Rodríguez,Real Madrid,9,2.0
2014/15,Semi Finals,1,Juventus    ,2,1,1,0,3,2,1,WD,46%,38%,31%,62%,38%,2.08,OVERALL,25,FC Basel,1893,8.0,11.9,222.0,46.2,81.1,10.0,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,3,Assists, ,Taison  ,Shakhtar Donetsk,8,2.0
2014/15,Semi Finals,2,FC Barcelona    ,2,1,0,1,5,3,2,WL,46%,54%,0%,85%,69%,3.23,OVERALL,26,CSKA Moscow,6,12.0,100.0,38.1,77.9,7.7,6.63,Scorers, ,Alex Teixeira,Shakhtar Donetsk,8,3,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,8,2.0
2014/15,Semi Finals,3,Bayern München  ,2,1,0,1,3,5,-2,LW,50%,42%,17%,75%,67%,3.83,OVERALL,27,Malmoe FF,4,11.2,152.0,43.4,77.0,14.2,6.54,Scorers, ,Eden Hazard,Chelsea  ,7,3,Assists, ,Karim Bellarabi,Bayer Leverkusen,8,2.0
2014/15,Semi Finals,4,Real Madrid CF  ,2,0,1,1,2,3,-1,LD,58%,42%,8%,67%,50%,2.75,OVERALL,28,Ludogorets Razgrad,5,12.3,131.0,47.9,82.4,7.7,6.52,Scorers, ,Alexis Sánchez,Arsenal  ,7,3,Assists, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,2.0
2014/15,Finals,1,FC Barcelona    ,1,1,0,0,3,1,2,W,46%,54%,0%,85%,69%,3.23,OVERALL,29,Maribor  ,4,11.0,120.0,43.4,77.5,10.2,6.47,Scorers, ,Lasse Schöne,Ajax Amsterdam,6,3,Assists, ,Fabian Frei,FC Basel,8,2.0
2014/15,Finals,2,Juventus    ,1,0,0,1,1,3,-2,L,46%,38%,31%,62%,38%,2.08,OVERALL,30,Galatasaray  ,4,15.2,161.0,50.4,84.7,10.2,6.45,Scorers, ,Seydou Doumbia,AS Roma,6,3,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,8,2.0
