YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG,VIEW,RANK_S,TEAM_DS,GOALS,SHOTS,"DISCIPLINE(Y,R/10)",POSSESSION,PASS%,AW,RATING,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2017/18,8th Finals,1,Bayern München  ,2,2,0,0,8,1,7,WW,33%,58%,17%,92%,92%,3.17,OVERALL,1,Paris Saint-Germain,27,15.3,111.0,53.2,88.7,10.1,7.24,Scorers,1,Cristiano Ronaldo,Real Madrid,13,15,Assists,1,James Milner,Liverpool  ,11,8
2017/18,8th Finals,2,Real Madrid  ,2,2,0,0,5,2,3,WW,23%,77%,0%,100%,92%,3.77,OVERALL,2,Liverpool  ,41,15.7,201.0,50.1,81.1,16.8,7.13,Scorers,2,Mohamed Salah,Liverpool  ,13,10,Assists,2,Roberto Firmino,Liverpool  ,13,7
2017/18,8th Finals,3,Liverpool FC    ,2,1,1,0,5,0,5,WD,40%,60%,7%,93%,87%,4.4,OVERALL,3,Real Madrid,33,17.3,210.0,55.8,88.6,10.6,7.09,Scorers, ,Roberto Firmino,Liverpool  ,13,10,Assists,3,Mohamed Salah,Liverpool  ,13,4
2017/18,8th Finals,4,FC Barcelona    ,2,1,1,0,4,1,3,DW,60%,30%,30%,70%,50%,2.3,OVERALL,4,Manchester United,13,14.0,100.0,55.3,84.4,17.0,7.01,Scorers, ,Sadio Mané,Liverpool  ,11,10,Assists, ,Marcelo  ,Real Madrid,11,4
2017/18,8th Finals,5,Juventus   ,2,1,1,0,4,3,3,DW,30%,50%,30%,90%,60%,2.6,OVERALL,5,Bayern Munich,26,18.8,230.0,56.3,86.5,15.3,7.0,Scorers,5,Edin Dzeko,AS Roma,12,8,Assists, ,Kevin De Bruyne,Manchester City,8,4
2017/18,8th Finals,6,Sevilla FC    ,2,1,1,0,2,1,1,DW,25%,75%,17%,83%,75%,3.08,OVERALL,6,Tottenham  ,18,14.6,111.0,49.6,83.5,12.6,6.99,Scorers, ,Ben Yedder,Sevilla FC,9,8,Assists, ,Dele Alli,Tottenham Hotspur,5,4
2017/18,8th Finals,7,Manchester City ,2,1,0,1,5,2,3,WL,40%,50%,10%,90%,80%,3.2,OVERALL,7,Manchester City,20,13.5,190.0,62.6,89.2,11.6,6.99,Scorers,7,Edinson Cavani,Paris Saint-Germain,8,7,Assists,7,Cristiano Ronaldo,Real Madrid,13,3
2017/18,8th Finals,8,AS Roma  ,2,1,0,1,2,2,0,LW,42%,50%,17%,75%,67%,3.33,OVERALL,8,Barcelona  ,17,12.9,171.0,61.1,87.9,9.1,6.9,Scorers, ,Harry Kane,Tottenham Hotspur,7,7,Assists, ,Aleksandar Kolarov,AS Roma,12,3
2017/18,8th Finals,9,FC Shakhtar Donetsk  ,2,1,0,1,2,2,0,WL,0%,63%,38%,88%,75%,2.75,OVERALL,9,Roma  ,21,14.5,151.0,50.8,82.6,16.2,6.85,Scorers,9,Lionel Messi,Barcelona  ,10,6,Assists, ,Joshua Kimmich,Bayern Munich,11,3
2017/18,8th Finals,10,FC Basel 1893  ,2,1,0,1,2,5,-3,LW,50%,25%,25%,88%,63%,2.88,OVERALL,10,Chelsea  ,17,15.6,100.0,47.2,84.1,9.1,6.84,Scorers, ,Neymar, Paris Saint-Germain  ,7,6,Assists, ,Luis Suárez,Barcelona  ,10,3
2017/18,8th Finals,11,Tottenham Hotspur FC    ,2,0,1,1,3,4,-1,DL,25%,75%,0%,100%,88%,3.25,OVERALL,11,Atletico Madrid,5,17.7,51.0,50.9,83.3,14.2,6.83,Scorers,11,Robert Lewandowski,Bayern Munich,11,5,Assists, ,Kylian Mbappé,Paris Saint-Germain,8,3
