YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2015/16,Quarter Finals,1,FC Bayern München  ,2,1,1,0,3,2,+1,WD,42%,42%,17%,83%,67%,3.42
2015/16,Quarter Finals,2,Manchester City FC  ,2,1,1,0,3,2,+1,DW,25%,58%,33%,58%,58%,2.50
2015/16,Quarter Finals,3,Club Atlético de Madrid,2,1,0,1,3,2,+1,LW,62%,38%,23%,69%,38%,1.92
2015/16,Quarter Finals,4,Real Madrid CF  ,2,1,0,1,3,2,+1,LW,77%,15%,23%,69%,31%,2.62
2015/16,Quarter Finals,5,FC Barcelona    ,2,1,0,1,2,3,-1,WL,30%,60%,10%,100%,50%,3.00
2015/16,Quarter Finals,6,VfL Wolfsburg    ,2,1,0,1,2,3,-1,WL,50%,30%,20%,80%,40%,2.60
2015/16,Quarter Finals,7,SL Benfica    ,2,0,1,1,2,3,-1,LD,20%,70%,10%,80%,70%,2.70
2015/16,Quarter Finals,8,Paris Saint-Germain FC  ,2,0,1,1,2,3,-1,DL,50%,30%,30%,70%,50%,2.40
