YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2017/18,Quarter Finals,1,Liverpool FC  ,2,2,0,0,5,1,+4,WW,40%,60%,7%,93%,87%,4.40
2017/18,Quarter Finals,2,FC Bayern München   ,2,1,1,0,2,1,+1,WD,33%,58%,17%,92%,92%,3.17
2017/18,Quarter Finals,3,Real Madrid CF  ,2,1,0,1,4,3,+1,WL,23%,77%,0%,100%,92%,3.77
2017/18,Quarter Finals,4,AS Roma      ,2,1,0,1,4,4,+0,LW,42%,50%,17%,75%,67%,3.33
2017/18,Quarter Finals,5,FC Barcelona    ,2,1,0,1,4,4,+0,WL,60%,30%,30%,70%,50%,2.30
2017/18,Quarter Finals,6,Juventus FC    ,2,1,0,1,3,4,-1,LW,30%,50%,30%,90%,60%,2.60
2017/18,Quarter Finals,7,Sevilla FC  ,2,0,1,1,1,2,-1,LD,25%,75%,17%,83%,75%,2.60
2017/18,Quarter Finals,8,Manchester City FC,2,0,0,2,1,5,-4,LL,40%,50%,10%,90%,80%,3.20
