YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2013/14,Quarter Finals,1,FC Bayern München  ,2,1,1,0,4,2,+2,DW,33%,50%,17%,83%,58%,3.08
2013/14,Quarter Finals,2,Club Atlético de Madrid,2,1,1,0,2,1,+1,DW,46%,54%,8%,77%,54%,2.77
2013/14,Quarter Finals,3,Real Madrid CF  ,2,1,0,1,3,2,+1,WL,38%,54%,8%,92%,77%,3.92
2013/14,Quarter Finals,4,Chelsea FC    ,2,1,0,1,3,3,0,LW,58%,33%,17%,75%,50%,2.42
2013/14,Quarter Finals,5,Paris Saint-Germain FC  ,2,1,0,1,3,3,0,WL,30%,60%,10%,100%,80%,3.40
2013/14,Quarter Finals,6,BVB 09 Borussia Dortmund,2,1,0,1,2,3,-1,LW,20%,60%,20%,90%,80%,3.10
2013/14,Quarter Finals,7,FC Barcelona    ,2,0,1,1,1,2,-1,DL,30%,60%,10%,80%,50%,2.90
2013/14,Quarter Finals,8,Manchester United FC  ,2,0,1,1,2,4,-2,DL,50%,40%,20%,70%,40%,2.60
