YEAR,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2011/12,Scorers,1,Lionel Messi,FC Barcelona,11,14,Assists,1,Lionel Messi,FC Barcelona,11,9.0
2011/12,Scorers,2,Mario Gomez,Bayern München,11,12,Assists,2,Karim Benzema,Real Madrid,10,5.0
2011/12,Scorers,3,Cristiano Ronaldo,Real Madrid,10,10,Assists, ,Zlatan Ibrahimović,AC Milan,8,5.0
2011/12,Scorers,4,Karim Benzema,Real Madrid,10,7,Assists, ,Isaac Cuenca,FC Barcelona,8,5.0
2011/12,Scorers,5,Didier Drogba ,Chelsea FC,8,6,Assists, ,Kaká,Real Madrid,7,5.0
2011/12,Scorers,6,Edinson Cavani,SSC Napoli,8,5,Assists, ,Franck Ribéry,Bayern München,11,5.0
2011/12,Scorers, ,Seydou Doumbia,CSKA Moskva,7,5,Assists,7,Costas Charalambides,APOEL Nikosia,10,4.0
2011/12,Scorers, ,Alexander Frei,FC Basel,7,5,Assists, ,Cristiano Ronaldo,Real Madrid,10,4.0
2011/12,Scorers, ,Bafétimbi Gomis,Olympique Lyon,7,5,Assists, ,Fernando Torres,Chelsea FC,8,4.0
2011/12,Scorers, ,Zlatan Ibrahimović,AC Milan,8,5,Assists, ,Nicolás Gaitán,SL Benfica,10,4.0
2011/12,Scorers, ,José Callejón,Real Madrid,4,5,Assists, ,Toni Kroos,Bayern München,13,4.0
2011/12,Scorers, ,Roman Shirokov,St. Petersburg,8,5,Assists, ,Ezequiel Lavezzi,SSC Napoli,8,4.0
2011/12,Scorers, ,Roberto Soldado,Valencia CF,6,5,Assists, ,Marcelo,Real Madrid,11,4.0
2011/12,Scorers,14,André Ayew,Olympique Marseille,10,4,Assists, ,Mesut Özil,Real Madrid,11,4.0
2011/12,Scorers, ,Óscar Cardozo,SL Benfica,10,4,Assists,15,Aly Cissokho,Olympique Lyon,8,3.0
2011/12,Scorers, ,Hulk,FC Porto,10,4,Assists, Dani Alves,FC Barcelona,12,3,
2011/12,Scorers, ,Manduca,APOEL Nikosia,10,4,Assists, ,Alan Dzagoev,CSKA Moskva,8,3.0
2011/12,Scorers, ,Pedro,FC Barcelona,12,4,Assists, ,Jonas,Valencia CF,6,3.0
2011/12,Scorers, ,Arjen Robben,Bayern München,8,4,Assists, ,Frank Lampard,Chelsea FC,13,3.0
2011/12,Scorers, ,Robin van Persie,Arsenal FC,8,4,Assists, ,Mata,Chelsea FC,13,3.0
2011/12,Scorers,21,Aílton,APOEL Nikosia,10,3,Assists, ,Vágner Love,CSKA Moskva,8,3.0
2011/12,Scorers, ,Kevin-Prince Boateng,AC Milan,10,3,Assists,22,Morgan Amalfitano,Olympique Marseille,10,2.0
2011/12,Scorers,,David Villa,FC Barcelona,9,3,Assists, ,Holger Badstuber,Bayern München,8,2.0
2011/12,Scorers,,Fernando Torres,Chelsea FC,8,3,Assists, ,Michael Ballack,Bayer Leverkusen,5,2.0
2011/12,Scorers,,Fabian Frei,FC Basel,8,3,Assists, ,Mario Balotelli,Manchester City,6,2.0
2011/12,Scorers,,Gonzalo Higuaín,Real Madrid,8,3,Assists, ,Bruno César,SL Benfica,10,2.0
2011/12,Scorers,,Iniesta,FC Barcelona,10,3,Assists, ,Sergio Busquets,FC Barcelona,12,2.0
2011/12,Scorers,,Jonas,Valencia CF,6,3,Assists, ,Edinson Cavani,SSC Napoli,8,2.0
2011/12,Scorers, ,Kaká,Real Madrid,7,3,Assists, ,Cesc Fàbregas,FC Barcelona,10,2.0
2011/12,Scorers,,Frank Lampard,Chelsea FC,13,3,Assists, ,Ashley Cole,Chelsea FC,13,2.0
