YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2012/13,Scorers,1,Cristiano Ronaldo,Real Madrid,12,12,Assists,1,Zlatan Ibrahimovic,Paris Saint-Germain,9,7
2012/13,Scorers,2,Robert Lewandowski,Borussia Dortmund,13,10,Assists,2,Mario Götze,Borussia Dortmund,11,5
2012/13,Scorers,3,Thomas Müller,Bayern Munich,13,8,Assists,3,Philipp Lahm,Bayern Munich,12,4
2012/13,Scorers, ,Lionel Messi,Barcelona  ,11,8,Assists, ,Bastian Schweinsteiger,Bayern Munich,12,4
2012/13,Scorers, ,Burak Yilmaz,Galatasaray  ,9,8,Assists, ,Ángel Di María,Real Madrid,11,4
2012/13,Scorers,6,Karim Benzema,Real Madrid,10,5,Assists, ,Xavi  ,Barcelona  ,11,4
2012/13,Scorers, ,Ezequiel Lavezzi,Paris Saint-Germain,9,5,Assists, ,Selcuk Inan, Galatasaray,10,4
2012/13,Scorers, ,Jonas  ,Valencia  ,8,5,Assists, ,Mesut Özil,Real Madrid,10,4
2012/13,Scorers, ,Oscar  ,Chelsea  ,6,5,Assists, ,Karim Benzema,Real Madrid,10,4
2012/13,Scorers, ,Alan  ,Braga  ,6,5,Assists, ,Olivier Giroud,Arsenal  ,7,4
2012/13,Scorers,11,Marco Reus,Borussia Dortmund,13,4,Assists, ,Christian Eriksen,Ajax Amsterdam,6,4
2012/13,Scorers, ,Arjen Robben,Bayern Munich,9,4,Assists,12,Nordin Amrabat,Galatasaray  ,10,3
2012/13,Scorers, ,Eliseu  ,Málaga  ,7,4,Assists, ,Andrea Pirlo,Juventus  ,10,3
2012/13,Scorers, ,Roberto Soldado,Valencia  ,7,4,Assists, ,Isco  ,Málaga  ,8,3
2012/13,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,7,4,Assists, ,Tino Costa, Valencia,8,3
2012/13,Scorers, ,Fabio Quagliarella,Juventus  ,7,4,Assists, ,Claudio Marchisio,Juventus  ,8,3
2012/13,Scorers, ,Willian Shakhtar,Donetsk  ,6,4,Assists, ,Charlie Mulgrew, Celtic,8,3
2012/13,Scorers, ,Kostas Mitroglou,Olympiakos  ,6,4,Assists, ,Jefferson Farfán,Schalke 04,7,3
2012/13,Scorers, ,Lukas Podolski,Arsenal  ,6,4,Assists, ,Lewis Holtby,Schalke 04,6,3
2012/13,Scorers, ,Claudio Pizarro,Bayern Munich,6,4,Assists, ,Rafael Bastos,CFR Cluj-Napoca,6,3
2012/13,Scorers,21,Mario Mandzukic,Bayern Munich,10,3,Assists, ,Juan Mata, Chelsea,6,3
2012/13,Scorers, ,Javier Pastore,Paris Saint-Germain,10,3,Assists, ,Wayne Rooney,Manchester United,6,3
2012/13,Scorers, ,Toni Kroos,Bayern Munich,9,3,Assists, ,Modou Sougou, Marseille,5,3
2012/13,Scorers, ,Arturo Vidal,Juventus  ,9,3,Assists,24,Robert Lewandowski,Borussia Dortmund,13,2
2012/13,Scorers, ,Zlatan Ibrahimovic,Paris Saint-Germain,9,3,Assists, ,Thomas Müller,Bayern Munich,13,2
2012/13,Scorers, ,Isco  ,Málaga  ,8,3,Assists, ,Marco Reus,Borussia Dortmund,13,2
2012/13,Scorers, ,Sofiane Feghouli,Valencia  ,8,3,Assists, ,Franck Ribéry,Bayern Munich,12,2
2012/13,Scorers, ,Jackson Martínez,FC Porto,8,3,Assists, ,David Alaba,Bayern Munich,11,2
2012/13,Scorers, ,Joaquín  ,Málaga  ,8,3,Assists, ,Sami Khedira,Real Madrid,11,2
2012/13,Scorers, ,Luiz Adriano,Shakhtar Donetsk,7,3,Assists, ,Lionel Messi,Barcelona  ,11,2
2012/13,Scorers, ,Javier Hernández,Manchester United,6,3,Assists, ,Javier Pastore,Paris Saint-Germain,10,2
2012/13,Scorers, ,De Jong,Ajax Amsterdam,6,3,Assists, ,Alessandro Matri,Juventus  ,9,2
2012/13,Scorers, ,Juan Mata,Chelsea  ,6,3,Assists, ,Arturo Vidal,Juventus  ,9,2
2012/13,Scorers, ,Giorgos Samaras,Celtic  ,6,3,Assists, ,Alexis Sánchez,Barcelona  ,9,2
2012/13,Scorers, ,Fernando Torres,Chelsea  ,6,3,Assists, ,Hamit  ,Altintop Galatasaray,9,2
2012/13,Scorers, ,van Persie,Manchester United,6,3,Assists, ,Gonzalo Higuaín,Real Madrid,9,2
2012/13,Scorers, ,Rui Pedro,CFR Cluj-Napoca,3,3,Assists, ,Arjen Robben,Bayern Munich,9,2
2012/13,Scorers,38,Bastian Schweinsteiger,Bayern Munich,12,2,Assists, ,Manuel  ,Iturra Málaga,8,2
2012/13,Scorers, ,Mario Götze,Borussia Dortmund,11,2,Assists, ,Stephan El Shaarawy,AC Milan,8,2
