YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2012/13,Scorers, ,David Alaba,Bayern Munich,11,2,Assists, ,João Moutinho,FC Porto,8,2
2012/13,Scorers, ,Jordi Alba,Barcelona  ,9,2,Assists, ,Darijo Srna,Shakhtar Donetsk,8,2
2012/13,Scorers, ,Alessandro Matri,Juventus  ,9,2,Assists, ,Xherdan Shaqiri,Bayern Munich,7,2
2012/13,Scorers, ,Thiago Silva,Paris Saint-Germain,9,2,Assists, ,Luiz Adriano,Shakhtar Donetsk,7,2
2012/13,Scorers, ,Blaise Matuidi,Paris Saint-Germain,9,2,Assists, ,Jérémy Menez,Paris Saint-Germain,7,2
2012/13,Scorers, ,Alex, Paris Saint-Germain  ,9,2,Assists, ,Mario Gómez,Bayern Munich,7,2
2012/13,Scorers, ,Henrikh Mkhitaryan,Shakhtar Donetsk,8,2,Assists, ,Willian  ,Shakhtar Donetsk,6,2
2012/13,Scorers, ,El Shaarawy,AC Milan,8,2,Assists, ,Aliaksandr Volodko,BATE Borisov,6,2
2012/13,Scorers, ,Alex Teixeira,Shakhtar Donetsk,8,2,Assists, ,Andriy Yarmolenko,Dynamo Kiev,6,2
2012/13,Scorers, ,Claudio Marchisio,Juventus  ,8,2,Assists, ,Éder  ,Braga  ,6,2
2012/13,Scorers, ,Silvestre Varela,FC Porto,8,2,Assists, ,Gervinho  ,Arsenal  ,6,2
