YEAR,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2015/16,Scorers, ,De Bruyne,Manchester City,10,3,Assists, ,Thomas Müller,Bayern Munich,12,2
2015/16,Scorers, ,Di María,Paris Saint-Germain,10,3,Assists, ,Juanfran  ,Atletico Madrid,12,2
2015/16,Scorers, ,Julian Draxler,VfL Wolfsburg,9,3,Assists, ,Raúl Jiménez,Benfica  ,10,2
2015/16,Scorers, ,Neymar  ,Barcelona  ,9,3,Assists, ,Raheem Sterling,Manchester City,10,2
2015/16,Scorers, ,Danijel Milicevic,KAA Gent,8,3,Assists, ,Fernando  ,Manchester City,10,2
2015/16,Scorers, ,Adrien Rabiot,Paris Saint-Germain,7,3,Assists, ,Eliseu  ,Benfica  ,10,2
2015/16,Scorers, ,Alexis Sánchez,Arsenal  ,7,3,Assists, ,Ángel Di María,Paris Saint-Germain,10,2
2015/16,Scorers, ,Vincent Aboubakar,FC Porto,6,3,Assists, ,Ivan Rakitic,Barcelona  ,10,2
2015/16,Scorers, ,Seydou Doumbia,AS Roma,6,3,Assists, ,Yaya Touré,Manchester City,10,2
2015/16,Scorers, ,Lars Stindl,Borussia Monchengladbach,6,3,Assists, ,Yannick Carrasco,Atletico Madrid,9,2
2015/16,Scorers, ,Alex Teixeira,Shakhtar Donetsk,6,3,Assists, ,Jonas  ,Benfica  ,9,2
2015/16,Scorers, ,Felipe Pardo,Olympiakos  ,6,3,Assists, ,Julian Draxler,VfL Wolfsburg,9,2
2015/16,Scorers,31,Fernandinho, Manchester City  ,12,2,Assists, ,Maxwell  ,Paris Saint-Germain,9,2
2015/16,Scorers, ,Douglas Costa,Bayern Munich,11,2,Assists, ,Blaise Matuidi,Paris Saint-Germain,9,2
2015/16,Scorers, ,Arturo Vidal,Bayern Munich,11,2,Assists, ,Derlis González,Dynamo Kiev,8,2
2015/16,Scorers, ,André Schürrle,VfL Wolfsburg,10,2,Assists, ,Lucas Digne,AS Roma,8,2
2015/16,Scorers, ,Ivan Rakitic,Barcelona  ,10,2,Assists, ,Álvaro Morata,Juventus  ,8,2
2015/16,Scorers, ,Edinson Cavani,Paris Saint-Germain,10,2,Assists, ,Paul Pogba,Juventus  ,8,2
2015/16,Scorers, ,Jonas  ,Benfica  ,9,2,Assists, ,Danny, Zenit St Petersburg,8,2
2015/16,Scorers, ,Lucas Moura,Paris Saint-Germain,9,2,Assists, ,Sven Kums,KAA Gent,8,2
2015/16,Scorers, ,Max Kruse,VfL Wolfsburg,9,2,Assists, ,Artem Dzyuba,Zenit St Petersburg,8,2
2015/16,Scorers, ,Sergio Agüero,Manchester City,9,2,Assists, ,Gareth Bale,Real Madrid,8,2
2015/16,Scorers, ,Kingsley Coman,Bayern Munich,8,2,Assists, ,Lucas Vázquez,Real Madrid,7,2
2015/16,Scorers, ,Álvaro Morata,Juventus  ,8,2,Assists, ,Konstantinos Fortounis, Olympiakos,6,2
2015/16,Scorers, ,Sven Kums,KAA Gent,8,2,Assists, ,Kevin Kampl,Bayer Leverkusen,6,2
2015/16,Scorers, ,Diego Costa,Chelsea  ,8,2,Assists, ,Miguel Layún,FC Porto,6,2
2015/16,Scorers, ,Mesut Özil,Arsenal  ,8,2,Assists, ,Karim Bellarabi,Bayer Leverkusen,6,2
2015/16,Scorers, ,Naldo VfL,Wolfsburg  ,8,2,Assists, ,Lars Stindl,Borussia Monchengladbach,6,2
2015/16,Scorers, ,David Silva,Manchester City,8,2,Assists, ,Joel Campbell,Arsenal  ,5,2
2015/16,Scorers, ,Vitaliy Buyalskiy,Dynamo Kiev,7,2,Assists, ,Julian Korb,Borussia Monchengladbach,5,2
2015/16,Scorers, ,Oscar  ,Chelsea  ,7,2,Assists, ,Wilfried Bony,Manchester City,5,2
2015/16,Scorers, ,Oleg Shatov , Zenit St Petersburg,7,2,Assists, ,Juan Mata,Manchester United,5,2
