YEAR,CATEGORIES 1,RANK_SC,NAME_SC,TEAM_SC,P_SC,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2015/16,Scorers,1,Cristiano Ronaldo,Real Madrid,12,16,Assists,1,Kingsley Coman,Bayern Munich,8,5
2015/16,Scorers,2,Robert Lewandowski,Bayern Munich,12,9,Assists, ,Alexis Sánchez,Arsenal  ,7,5
2015/16,Scorers,3,Thomas Müller,Bayern Munich,12,8,Assists,3,Cristiano Ronaldo,Real Madrid,12,4
2015/16,Scorers, ,Luis Suárez,Barcelona  ,9,8,Assists, ,Thiago  ,Bayern Munich,9,4
2015/16,Scorers,5,Antoine Griezmann,Atletico Madrid,13,7,Assists, ,Neymar  ,Barcelona  ,9,4
2015/16,Scorers,6,Artem Dzyuba ,Zenit St Petersburg,8,6,Assists, ,Hulk, Zenit St Petersburg,7,4
2015/16,Scorers, ,Lionel Messi,Barcelona  ,7,6,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,6,4
2015/16,Scorers,8,Zlatan Ibrahimovic,Paris Saint-Germain,10,5,Assists,8,Gabi, Atletico Madrid  ,13,3
2015/16,Scorers, ,Willian  ,Chelsea  ,8,5,Assists, ,Fernandinho  ,Manchester City,12,3
2015/16,Scorers, ,Olivier Giroud,Arsenal  ,7,5,Assists, ,Isco  ,Real Madrid,11,3
2015/16,Scorers, ,Javier Hernández,Bayer Leverkusen,6,5,Assists, ,Douglas Costa,Bayern Munich,11,3
2015/16,Scorers,12,Karim Benzema,Real Madrid,9,4,Assists, ,Arturo Vidal,Bayern Munich,11,3
2015/16,Scorers, ,Nicolás Gaitán,Benfica  ,8,4,Assists, ,Zlatan Ibrahimovic,Paris Saint-Germain,10,3
2015/16,Scorers, ,Hulk, Zenit St Petersburg,7,4,Assists, ,Luis Suárez,Barcelona  ,9,3
2015/16,Scorers, ,Admir Mehmedi,Bayer Leverkusen,5,4,Assists, ,Nicolás Gaitán,Benfica  ,8,3
2015/16,Scorers,16,Saúl Ñíguez,Atletico Madrid,13,3,Assists, ,Dani Alves,Barcelona  ,8,3
2015/16,Scorers, ,Raúl Jiménez,Benfica  ,10,3,Assists, ,Oleg Shatov, Zenit St Petersburg,7,3
2015/16,Scorers, ,Raheem Sterling,Manchester City,10,3,Assists,18,Saúl Ñíguez,Atletico Madrid,13,2
