YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2017/18,Scorers, ,Anderson Talisca,Besiktas  ,8,4,Assists, ,Kieran Trippier,Tottenham Hotspur,3,3
2017/18,Scorers, ,Raheem Sterling,Manchester City,8,4,Assists,22,Edin Dzeko,AS Roma,12,2
2017/18,Scorers, ,Son Heung-Min,Tottenham Hotspur,7,4,Assists, ,Georginio Wijnaldum, Liverpool,12,2
2017/18,Scorers, ,Sergio Agüero,Manchester City,7,4,Assists, ,James Rodríguez,Bayern Munich,12,2
2017/18,Scorers, ,Cenk Tosun,Besiktas  ,6,4,Assists, ,Isco  ,Real Madrid,11,2
2017/18,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,6,4,Assists, ,Radja Nainggolan,AS Roma,11,2
2017/18,Scorers, ,Mario Mandzukic,Juventus  ,6,4,Assists, ,Lucas Vázquez,Real Madrid,10,2
2017/18,Scorers,28,Marcelo, Real Madrid  ,11,3,Assists, ,Pablo Sarabia,Sevilla FC,10,2
2017/18,Scorers, ,Thiago, Bayern Munich  ,10,3,Assists, ,Sergio Escudero,Sevilla FC,10,2
2017/18,Scorers, ,Thomas Müller,Bayern Munich,10,3,Assists, ,Thomas Müller,Bayern Munich,10,2
2017/18,Scorers, ,Diego Perotti,AS Roma,9,3,Assists, ,Lionel Messi,Barcelona  ,10,2
2017/18,Scorers, ,Marcus Rashford,Manchester United,8,3,Assists, ,Leroy Sané,Manchester City,9,2
2017/18,Scorers, ,Michael Lang,FC Basel,8,3,Assists, ,Bernardo Silva,Manchester City,9,2
2017/18,Scorers, ,Corentin Tolisso,Bayern Munich,8,3,Assists, ,Ilkay Gündogan,Manchester City,9,2
2017/18,Scorers, ,Willian  ,Chelsea  ,8,3,Assists, ,Éver Banega,Sevilla FC,9,2
2017/18,Scorers, ,Bernard, Shakhtar Donetsk  ,8,3,Assists, ,Corentin Tolisso,Bayern Munich,8,2
2017/18,Scorers, ,Eden Hazard,Chelsea  ,8,3,Assists, ,Anthony Martial,Manchester United,8,2
2017/18,Scorers, ,Facundo Ferreyra,Shakhtar Donetsk,8,3,Assists, ,Adrien Rabiot,Paris Saint-Germain,8,2
2017/18,Scorers, ,Gareth Bale,Real Madrid,7,3,Assists, ,Marco Verratti,Paris Saint-Germain,8,2
2017/18,Scorers, ,Timo Werner,RB Leipzig,6,3,Assists, ,Marlos  ,Shakhtar Donetsk,8,2
2017/18,Scorers, ,Layvin Kurzawa,Paris Saint-Germain,6,3,Assists, ,Andrés Iniesta,Barcelona  ,8,2
2017/18,Scorers, ,John Stones,Manchester City,5,3,Assists, ,Ricardo Pereira,FC Porto,7,2
2017/18,Scorers, ,Lorenzo Insigne,Napoli  ,5,3,Assists, ,Harry Kane,Tottenham Hotspur,7,2
2017/18,Scorers, ,Radamel Falcao,AS Monaco,5,3,Assists, ,David Alaba,Bayern Munich,7,2
2017/18,Scorers,45,Kostas Manolas,AS Roma,11,2,Assists, ,Pedro  ,Chelsea  ,7,2
2017/18,Scorers, ,Radja Nainggolan,AS Roma,11,2,Assists, ,Gareth Bale,Real Madrid,7,2
2017/18,Scorers, ,El Shaarawy,AS Roma,10,2,Assists, ,David Silva,Manchester City,7,2
2017/18,Scorers, ,Ilkay Gündogan,Manchester City,9,2,Assists, ,Moussa Marega,FC Porto,6,2
2017/18,Scorers, ,Mohammed Elyounoussi,FC Basel,8,2,Assists, ,Keita Baldé,AS Monaco,6,2
2017/18,Scorers, ,Marco Verratti,Paris Saint-Germain,8,2,Assists, ,Kingsley Coman,Bayern Munich,6,2
