YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2017/18,Scorers,1,Cristiano Ronaldo,Real Madrid,13,15,Assists,1,James Milner,Liverpool  ,11,8
2017/18,Scorers,2,Mohamed Salah,Liverpool  ,13,10,Assists,2,Roberto Firmino,Liverpool  ,13,7
2017/18,Scorers, ,Roberto Firmino,Liverpool  ,13,10,Assists,3,Mohamed Salah,Liverpool  ,13,4
2017/18,Scorers, ,Sadio Mané,Liverpool  ,11,10,Assists, ,Marcelo  ,Real Madrid,11,4
2017/18,Scorers,5,Edin Dzeko,AS Roma,12,8,Assists,Kevin,De Bruyne,Manchester City,8,4
2017/18,Scorers, ,Ben Yedder,Sevilla FC,9,8,Assists, ,Dele Alli,Tottenham Hotspur,5,4
2017/18,Scorers,7,Edinson Cavani,Paris Saint-Germain,8,7,Assists,7,Cristiano Ronaldo,Real Madrid,13,3
2017/18,Scorers, ,Harry Kane,Tottenham Hotspur,7,7,Assists, ,Aleksandar Kolarov,AS Roma,12,3
2017/18,Scorers,9,Lionel Messi,Barcelona  ,10,6,Assists, ,Joshua Kimmich,Bayern Munich,11,3
2017/18,Scorers, ,Neymar, Paris Saint-Germain  ,7,6,Assists, ,Luis Suárez,Barcelona  ,10,3
2017/18,Scorers,11,Robert Lewandowski,Bayern Munich,11,5,Assists, ,Kylian Mbappé,Paris Saint-Germain,8,3
2017/18,Scorers, ,Gonzalo Higuaín,Juventus  ,10,5,Assists, ,Joaquín Correa,Sevilla FC,8,3
2017/18,Scorers, ,Karim Benzema,Real Madrid,9,5,Assists, ,Alberto Moreno, Liverpool,8,3
2017/18,Scorers, ,Romelu Lukaku,Manchester United,8,5,Assists, ,Dani Carvajal,Real Madrid,8,3
2017/18,Scorers, ,Vincent Aboubakar,FC Porto,6,5,Assists, ,Eden  ,Hazard Chelsea,8,3
2017/18,Scorers, ,Philippe Coutinho,Barcelona  ,5,5,Assists, ,Sami Khedira,Juventus  ,8,3
2017/18,Scorers,17,Joshua Kimmich,Bayern Munich,11,4,Assists, ,Neymar  ,Paris Saint-Germain,7,3
2017/18,Scorers, ,Gabriel Jesus,Manchester City,9,4,Assists, ,Ricardo Quaresma,Besiktas  ,7,3
2017/18,Scorers, ,Kylian Mbappé,Paris Saint-Germain,8,4,Assists, ,Dries Mertens,Napoli  ,6,3
2017/18,Scorers, ,Dimitri Oberlin,FC Basel,8,4,Assists, ,Danilo Pereira,FC Porto,6,3
