YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2016-17,Scorers,1,Cristiano Ronaldo,Real Madrid,13,12
2016-17,Scorers,2,Lionel Messi,Barcelona  ,9,11
2016-17,Scorers,3,Robert Lewandowski,Bayern Munich,9,8
2016-17,Scorers, ,Edinson Cavani,Paris Saint-Germain,8,8
2016-17,Scorers,5,Pierre-Emerick Aubameyang,Borussia Dortmund,9,7
2016-17,Scorers,6,Antoine Griezmann,Atletico Madrid,12,6
2016-17,Scorers, ,Kylian Mbappé,AS Monaco,9,6
2016-17,Scorers,8,Karim Benzema,Real Madrid,13,5
2016-17,Scorers, ,Gonzalo Higuaín,Juventus  ,12,5
2016-17,Scorers, ,Dries Mertens,Napoli  ,8,5
2016-17,Scorers, ,Radamel Falcao,AS Monaco,8,5
2016-17,Scorers, ,Sergio Agüero,Manchester City,7,5
2016-17,Scorers,13,Saúl Ñíguez,Atletico Madrid,12,4
2016-17,Scorers, ,Paulo Dybala,Juventus  ,11,4
2016-17,Scorers, ,Riyad Mahrez,Leicester City,9,4
2016-17,Scorers, ,Neymar  ,Barcelona  ,9,4
2016-17,Scorers, ,Mesut Özil,Arsenal  ,8,4
2016-17,Scorers, ,André Silva,FC Porto,8,4
2016-17,Scorers, ,Di María,Paris Saint-Germain,7,4
2016-17,Scorers, ,Theo Walcott,Arsenal  ,6,4
2016-17,Scorers, ,Arda Turan,Barcelona  ,5,4
2016-17,Scorers, ,Marco Reus,Borussia Dortmund,4,4
2016-17,Scorers,23,Dani Alves,Juventus  ,12,3
2016-17,Scorers, ,Mario Mandzukic,Juventus  ,11,3
2016-17,Scorers, ,Álvaro Morata,Real Madrid,9,3
2016-17,Scorers, ,Luis Suárez,Barcelona  ,9,3
2016-17,Scorers, ,Thomas Müller,Bayern Munich,9,3
2016-17,Scorers, ,Marco Asensio,Real Madrid,8,3
2016-17,Scorers, ,Joshua Kimmich,Bayern Munich,8,3
2016-17,Scorers, ,Eduardo Salvio,Benfica  ,8,3
2016-17,Scorers, ,Arturo Vidal,Bayern Munich,8,3
2016-17,Scorers, ,Alexis Sánchez,Arsenal  ,8,3
2016-17,Scorers, ,Arjen Robben,Bayern Munich,8,3
2016-17,Scorers, ,Moussa Dembélé,Celtic  ,6,3
2016-17,Scorers, ,Dmitriy Poloz,Rostov  ,6,3
2016-17,Scorers, ,Vincent Aboubakar,Besiktas  ,6,3
2016-17,Scorers, ,Ricardo Quaresma,Besiktas  ,6,3
2016-17,Scorers, ,Shinji Kagawa,Borussia Dortmund,5,3
2016-17,Scorers, ,Arkadiusz Milik,Napoli  ,4,3
2016-17,Scorers, ,Lucas Pérez,Arsenal  ,3,3
2016-17,Scorers,41,Thomas Lemar,AS Monaco,12,2
2016-17,Scorers, ,Yannick Carrasco,Atletico Madrid,12,2
2016-17,Scorers, ,Valère Germain,AS Monaco,12,2
2016-17,Scorers, ,Bernardo Silva,AS Monaco,11,2
2016-17,Scorers, ,Ousmane Dembélé,Borussia Dortmund,10,2
2016-17,Scorers, ,Raphaël Varane,Real Madrid,10,2
2016-17,Scorers, ,Casemiro Real,Madrid  ,9,2
2016-17,Scorers, ,Jamie Vardy,Leicester City,9,2
2016-17,Scorers, ,Thiago Bayern,Munich  ,9,2
2016-17,Scorers, ,Marc Albrighton,Leicester City,9,2
