YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2013/14,Scorers,1,Cristiano Ronaldo,Real Madrid,11,17
2013/14,Scorers,2,Zlatan Ibrahimovic,Paris Saint-Germain,8,10
2013/14,Scorers,3,Diego Costa,Atletico Madrid,9,8
2013/14,Scorers, ,Lionel Messi,Barcelona  ,7,8
2013/14,Scorers,5,Gareth Bale,Real Madrid,12,6
2013/14,Scorers, ,Robert Lewandowski,Borussia Dortmund,9,6
2013/14,Scorers, ,Sergio Agüero,Manchester City,6,6
2013/14,Scorers,8,Thomas Müller,Bayern Munich,12,5
2013/14,Scorers, ,Karim Benzema,Real Madrid,11,5
2013/14,Scorers, ,Marco Reus,Borussia Dortmund,9,5
2013/14,Scorers, ,Álvaro Negredo,Manchester City,8,5
2013/14,Scorers, ,Arturo Vidal,Juventus  ,6,5
2013/14,Scorers,13,Raúl García,Atletico Madrid,12,4
2013/14,Scorers, ,Neymar  ,Barcelona  ,10,4
2013/14,Scorers, ,Arjen Robben,Bayern Munich,10,4
2013/14,Scorers, ,Arda Turan,Atletico Madrid,9,4
2013/14,Scorers, ,Fernando Torres,Chelsea  ,9,4
2013/14,Scorers, ,Hulk Zenit,St Petersburg,8,4
2013/14,Scorers, ,Edinson Cavani,Paris Saint-Germain,8,4
2013/14,Scorers, ,van Persie,Manchester United,6,4
2013/14,Scorers, ,Gonzalo Higuaín,Napoli  ,5,4
2013/14,Scorers,22,Isco, Real Madrid  ,12,3
2013/14,Scorers, ,Mario Götze,Bayern Munich,11,3
2013/14,Scorers, ,Ángel Di María,Real Madrid,11,3
2013/14,Scorers, ,Sergio Ramos,Real Madrid,11,3
2013/14,Scorers, ,Mario Mandzukic,Bayern Munich,10,3
2013/14,Scorers, ,Franck Ribéry,Bayern Munich,10,3
2013/14,Scorers, ,Samuel Eto'o,Chelsea  ,9,3
2013/14,Scorers, ,Marquinhos, Paris Saint-Germain  ,8,3
2013/14,Scorers, ,Julian Draxler,Schalke 04,8,3
2013/14,Scorers, ,Alejandro Domínguez,Olympiakos  ,8,3
2013/14,Scorers, ,Simon Rolfes,Bayer Leverkusen,8,3
2013/14,Scorers, ,Umut Bulut,Galatasaray  ,8,3
2013/14,Scorers, ,Bastian Schweinsteiger,Bayern Munich,8,3
2013/14,Scorers, ,Alex Teixeira,Shakhtar Donetsk,6,3
2013/14,Scorers, ,Demba Ba,Chelsea  ,6,3
2013/14,Scorers, ,Kostas Mitroglou,Olympiakos  ,5,3
2013/14,Scorers,38,Miranda, Atletico Madrid  ,13,2
2013/14,Scorers, ,David Alaba,Bayern Munich,12,2
2013/14,Scorers, ,Henrikh Mkhitaryan,Borussia Dortmund,10,2
2013/14,Scorers, ,Diego Godín,Atletico Madrid,10,2
2013/14,Scorers, ,Ezequiel Lavezzi,Paris Saint-Germain,10,2
2013/14,Scorers, ,Ramires  ,Chelsea  ,10,2
2013/14,Scorers, ,Antonio Valencia,Manchester United,10,2
2013/14,Scorers, ,Eden Hazard,Chelsea  ,9,2
2013/14,Scorers, ,Adrián, Atletico Madrid  ,9,2
2013/14,Scorers, ,Gerard Piqué,Barcelona  ,9,2
2013/14,Scorers, ,Wayne Rooney,Manchester United,9,2
2013/14,Scorers, ,Thiago Motta,Paris Saint-Germain,9,2
2013/14,Scorers, ,Ömer Toprak,Bayer Leverkusen,8,2
