YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2017/18,Scorers,1,Cristiano Ronaldo,Real Madrid,13,15
2017/18,Scorers,2,Mohamed Salah,Liverpool  ,13,10
2017/18,Scorers, ,Roberto Firmino,Liverpool  ,13,10
2017/18,Scorers, ,Sadio Mané,Liverpool  ,11,10
2017/18,Scorers,5,Edin Dzeko,AS Roma,12,8
2017/18,Scorers, ,Ben Yedder,Sevilla FC,9,8
2017/18,Scorers,7,Edinson Cavani,Paris Saint-Germain,8,7
2017/18,Scorers, ,Harry Kane,Tottenham Hotspur,7,7
2017/18,Scorers,9,Lionel Messi,Barcelona  ,10,6
2017/18,Scorers, ,Neymar, Paris Saint-Germain  ,7,6
2017/18,Scorers,11,Robert Lewandowski,Bayern Munich,11,5
2017/18,Scorers, ,Gonzalo Higuaín,Juventus  ,10,5
2017/18,Scorers, ,Karim Benzema,Real Madrid,9,5
2017/18,Scorers, ,Romelu Lukaku,Manchester United,8,5
2017/18,Scorers, ,Vincent Aboubakar,FC Porto,6,5
2017/18,Scorers, ,Philippe Coutinho,Barcelona  ,5,5
2017/18,Scorers,17,Joshua Kimmich,Bayern Munich,11,4
2017/18,Scorers, ,Gabriel Jesus,Manchester City,9,4
2017/18,Scorers, ,Kylian Mbappé,Paris Saint-Germain,8,4
2017/18,Scorers, ,Dimitri Oberlin,FC Basel,8,4
2017/18,Scorers, ,Anderson Talisca,Besiktas  ,8,4
2017/18,Scorers, ,Raheem Sterling,Manchester City,8,4
2017/18,Scorers, ,Son Heung-Min,Tottenham Hotspur,7,4
2017/18,Scorers, ,Sergio Agüero,Manchester City,7,4
2017/18,Scorers, ,Cenk Tosun,Besiktas  ,6,4
2017/18,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,6,4
2017/18,Scorers, ,Mario Mandzukic,Juventus  ,6,4
2017/18,Scorers,28,Marcelo, Real Madrid  ,11,3
2017/18,Scorers, ,Thiago, Bayern Munich  ,10,3
2017/18,Scorers, ,Thomas Müller,Bayern Munich,10,3
2017/18,Scorers, ,Diego Perotti,AS Roma,9,3
2017/18,Scorers, ,Marcus Rashford,Manchester United,8,3
2017/18,Scorers, ,Michael Lang,FC Basel,8,3
2017/18,Scorers, ,Corentin Tolisso,Bayern Munich,8,3
2017/18,Scorers, ,Willian  ,Chelsea  ,8,3
2017/18,Scorers, ,Bernard, Shakhtar Donetsk  ,8,3
2017/18,Scorers, ,Eden Hazard,Chelsea  ,8,3
2017/18,Scorers, ,Facundo Ferreyra,Shakhtar Donetsk,8,3
2017/18,Scorers, ,Gareth Bale,Real Madrid,7,3
2017/18,Scorers, ,Timo Werner,RB Leipzig,6,3
2017/18,Scorers, ,Layvin Kurzawa,Paris Saint-Germain,6,3
2017/18,Scorers, ,John Stones,Manchester City,5,3
2017/18,Scorers, ,Lorenzo Insigne,Napoli  ,5,3
2017/18,Scorers, ,Radamel Falcao,AS Monaco,5,3
2017/18,Scorers,45,Kostas Manolas,AS Roma,11,2
2017/18,Scorers, ,Radja Nainggolan,AS Roma,11,2
2017/18,Scorers, ,El Shaarawy,AS Roma,10,2
2017/18,Scorers, ,Ilkay Gündogan,Manchester City,9,2
2017/18,Scorers, ,Mohammed Elyounoussi,FC Basel,8,2
2017/18,Scorers, ,Marco Verratti,Paris Saint-Germain,8,2
