YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2012/13,Scorers,1,Cristiano Ronaldo,Real Madrid,12,12
2012/13,Scorers,2,Robert Lewandowski,Borussia Dortmund,13,10
2012/13,Scorers,3,Thomas Müller,Bayern Munich,13,8
2012/13,Scorers, ,Lionel Messi,Barcelona  ,11,8
2012/13,Scorers, ,Burak Yilmaz,Galatasaray  ,9,8
2012/13,Scorers,6,Karim Benzema,Real Madrid,10,5
2012/13,Scorers, ,Ezequiel Lavezzi,Paris Saint-Germain,9,5
2012/13,Scorers, ,Jonas  ,Valencia  ,8,5
2012/13,Scorers, ,Oscar  ,Chelsea  ,6,5
2012/13,Scorers, ,Alan  ,Braga  ,6,5
2012/13,Scorers,11,Marco Reus,Borussia Dortmund,13,4
2012/13,Scorers, ,Arjen Robben,Bayern Munich,9,4
2012/13,Scorers, ,Eliseu  ,Málaga  ,7,4
2012/13,Scorers, ,Roberto Soldado,Valencia  ,7,4
2012/13,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,7,4
2012/13,Scorers, ,Fabio Quagliarella,Juventus  ,7,4
2012/13,Scorers, ,Willian Shakhtar,Donetsk  ,6,4
2012/13,Scorers, ,Kostas Mitroglou,Olympiakos  ,6,4
2012/13,Scorers, ,Lukas Podolski,Arsenal  ,6,4
2012/13,Scorers, ,Claudio Pizarro,Bayern Munich,6,4
2012/13,Scorers,21,Mario Mandzukic,Bayern Munich,10,3
2012/13,Scorers, ,Javier Pastore,Paris Saint-Germain,10,3
2012/13,Scorers, ,Toni Kroos,Bayern Munich,9,3
2012/13,Scorers, ,Arturo Vidal,Juventus  ,9,3
2012/13,Scorers, ,Zlatan Ibrahimovic,Paris Saint-Germain,9,3
2012/13,Scorers, ,Isco  ,Málaga  ,8,3
2012/13,Scorers, ,Sofiane Feghouli,Valencia  ,8,3
2012/13,Scorers, ,Jackson Martínez,FC Porto,8,3
2012/13,Scorers, ,Joaquín  ,Málaga  ,8,3
2012/13,Scorers, ,Luiz Adriano,Shakhtar Donetsk,7,3
2012/13,Scorers, ,Javier Hernández,Manchester United,6,3
2012/13,Scorers, ,De Jong,Ajax Amsterdam,6,3
2012/13,Scorers, ,Juan Mata,Chelsea  ,6,3
2012/13,Scorers, ,Giorgos Samaras,Celtic  ,6,3
2012/13,Scorers, ,Fernando Torres,Chelsea  ,6,3
2012/13,Scorers, ,van Persie,Manchester United,6,3
2012/13,Scorers, ,Rui Pedro,CFR Cluj-Napoca,3,3
2012/13,Scorers,38,Bastian Schweinsteiger,Bayern Munich,12,2
2012/13,Scorers, ,Mario Götze,Borussia Dortmund,11,2
2012/13,Scorers, ,David Alaba,Bayern Munich,11,2
2012/13,Scorers, ,Jordi Alba,Barcelona  ,9,2
2012/13,Scorers, ,Alessandro Matri,Juventus  ,9,2
2012/13,Scorers, ,Thiago Silva,Paris Saint-Germain,9,2
2012/13,Scorers, ,Blaise Matuidi,Paris Saint-Germain,9,2
2012/13,Scorers, ,Alex, Paris Saint-Germain  ,9,2
2012/13,Scorers, ,Henrikh Mkhitaryan,Shakhtar Donetsk,8,2
2012/13,Scorers, ,El Shaarawy,AC Milan,8,2
2012/13,Scorers, ,Alex Teixeira,Shakhtar Donetsk,8,2
2012/13,Scorers, ,Claudio Marchisio,Juventus  ,8,2
2012/13,Scorers, ,Silvestre Varela,FC Porto,8,2
