YEAR,CATEGORIES 1,RANK_S,NAME_S,TEAM_S,P_S,G
2014/15,Scorers,1,Lionel Messi,Barcelona  ,13,10
2014/15,Scorers, ,Neymar  ,Barcelona  ,12,10
2014/15,Scorers, ,Cristiano Ronaldo,Real Madrid,12,10
2014/15,Scorers,4,Luiz Adriano,Shakhtar Donetsk,7,9
2014/15,Scorers,5,Carlos Tevez,Juventus  ,13,7
2014/15,Scorers, ,Luis Suárez,Barcelona  ,10,7
2014/15,Scorers, ,Thomas Müller,Bayern Munich,10,7
2014/15,Scorers, ,Jackson Martínez,FC Porto,8,7
2014/15,Scorers,9,Robert Lewandowski,Bayern Munich,12,6
2014/15,Scorers, ,Edinson Cavani,Paris Saint-Germain,10,6
2014/15,Scorers, ,Karim Benzema,Real Madrid,9,6
2014/15,Scorers, ,Sergio Agüero,Manchester City,7,6
2014/15,Scorers,13,Álvaro Morata,Juventus  ,12,5
2014/15,Scorers, ,Mario Mandzukic,Atletico Madrid,10,5
2014/15,Scorers, ,Yacine Brahimi,FC Porto,9,5
2014/15,Scorers, ,Klaas-Jan Huntelaar,Schalke 04,8,5
2014/15,Scorers,17,Mario Götze,Bayern Munich,11,4
2014/15,Scorers, ,Ciro Immobile,Borussia Dortmund,6,4
2014/15,Scorers, ,Nani, Sporting CP  ,5,4
2014/15,Scorers,20,Jérôme Boateng,Bayern Munich,11,3
2014/15,Scorers, ,Héctor Herrera,FC Porto,9,3
2014/15,Scorers, ,Ricardo Quaresma,FC Porto,9,3
2014/15,Scorers, ,Derlis González,FC Basel,8,3
2014/15,Scorers, ,Son Heung-Min,Bayer Leverkusen,8,3
2014/15,Scorers, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,3
2014/15,Scorers, ,Alex Teixeira,Shakhtar Donetsk,8,3
2014/15,Scorers, ,Eden Hazard,Chelsea  ,7,3
2014/15,Scorers, ,Alexis Sánchez,Arsenal  ,7,3
2014/15,Scorers, ,Lasse Schöne,Ajax Amsterdam,6,3
2014/15,Scorers, ,Seydou Doumbia,AS Roma,6,3
2014/15,Scorers, ,Danny Welbeck,Arsenal  ,6,3
2014/15,Scorers, ,Gervinho, AS Roma  ,6,3
2014/15,Scorers, ,Aaron Ramsey,Arsenal  ,6,3
2014/15,Scorers, ,Adrián Ramos,Borussia Dortmund,6,3
2014/15,Scorers, ,Markus Rosenberg,Malmo FF,6,3
2014/15,Scorers, ,Franck Ribéry,Bayern Munich,6,3
2014/15,Scorers, ,Lukas Podolski,Arsenal  ,5,3
2014/15,Scorers, ,Vincent Aboubakar,FC Porto,4,3
2014/15,Scorers, ,Marco Reus,Borussia Dortmund,4,3
2014/15,Scorers,40,Ivan Rakitic,Barcelona  ,12,2
2014/15,Scorers, ,David Luiz,Paris Saint-Germain,10,2
2014/15,Scorers, ,Gareth Bale,Real Madrid,10,2
2014/15,Scorers, ,Raúl García,Atletico Madrid,10,2
2014/15,Scorers, ,Xabi Alonso,Bayern Munich,10,2
2014/15,Scorers, ,Koke, Atletico Madrid  ,9,2
2014/15,Scorers, ,Antoine Griezmann,Atletico Madrid,9,2
2014/15,Scorers, ,Hakan Calhanoglu,Bayer Leverkusen,8,2
2014/15,Scorers, ,Nemanja Matic,Chelsea  ,8,2
2014/15,Scorers, ,Cesc Fàbregas,Chelsea  ,8,2
2014/15,Scorers, ,Alex Oxlade-Chamberlain,Arsenal  ,7,2
