YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2016/17,Semi Finals,1,Juventus FC    ,2,2,0,0,4,1,+3,WW,69%,31%,15%,69%,38%,2.23
2016/17,Semi Finals,2,Real Madrid CF  ,2,1,0,1,4,2,+2,WL,8%,92%,0%,100%,100%,4.15
2016/17,Semi Finals,3,Club Atlético de Madrid,2,1,0,1,2,4,-2,LW,50%,33%,25%,50%,33%,2.00
2016/17,Semi Finals,4,AS Monaco FC  ,2,0,0,2,1,4,-3,LL,13%,75%,13%,94%,75%,3.31
