YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2016/17,Semi Finals,1,Real Madrid CF    ,2,1,1,0,4,3,+1,WD,23%,77%,0%,100%,92%,3.77
2016/17,Semi Finals,2,Liverpool FC  ,2,1,0,1,7,6,+1,WL,40%,60%,7%,93%,87%,4.40
2016/17,Semi Finals,3,AS Roma,2,1,0,1,6,7,-1,LW,42%,50%,17%,75%,67%,3.33
2016/17,Semi Finals,4,FC Bayern München  ,2,0,1,1,3,4,-1,LD,33%,58%,17%,92%,92%,3.17
