YEAR,ROUND,RANK,TEAM,MP,W,D,L,GF,GA,GD,Last 5,CS,BTTS,FTS,Over 1.5+,Over 2.5+,AVG
2015/16,Semi Finals,1,Real Madrid CF  ,2,1,1,0,1,0,+1,DW,77%,15%,23%,69%,31%,2.62
2015/16,Semi Finals,2,Club Atlético de Madrid,2,1,0,1,2,2,0,WL,62%,38%,23%,69%,38%,1.92
2015/16,Semi Finals,3,FC Bayern München  ,2,1,0,1,2,2,0,LW,42%,42%,17%,83%,67%,3.42
2015/16,Semi Finals,4,Manchester City FC  ,2,0,1,1,0,1,-1,DL,25%,58%,33%,58%,58%,2.50
