YEAR,ROUND,RANK ER,TEAM ER,MP,W,D,L,GF,GA,GD,Last 5,CS%,BTTS%,FTS%,Over 1.5+ %,Over 2.5+ %,AVG,CATEGORIES 1,RANK DS,TEAM DS,GOALS,SHOTS,YELLOW CARD,RED CARD,POSSESSION,PASS%,RATING,CATEGORIES 2,RANK SC,NAME SC,TEAM SC,MP SC,G,GOALS RATIO,CATEGORIES 3,RANK A,NAME A,TEAM A,MP A,A,ASSISTS RATIO
2014/15,Semi Finals,3,Bayern Munich,2,1,0,1,3,5,-2,LW,50,42,17,75,67,3.83,OVERALL,27,Malmoe FF,4,11.2,15,2,43.4,77.0,6.54,SCORERS, ,Eden Hazard,Chelsea,7,3,0.43,ASSISTS, ,Karim Bellarabi,Bayer Leverkusen,8,2,0.25
2014/15,Semi Finals,4,Real Madrid,2,0,1,1,2,3,-1,LD,58,42,8,67,50,2.75,OVERALL,28,Ludogorets Razgrad,5,12.3,13,1,47.9,82.4,6.52,SCORERS, ,Alexis Sánchez,Arsenal,7,3,0.43,ASSISTS, ,Pierre-Emerick Aubameyang,Borussia Dortmund,8,2,0.25
2014/15,Finals,1,FC Barcelona,1,1,0,0,3,1,2,W,46,54,0,85,69,3.23,OVERALL,29,Maribor,4,11.0,12,0,43.4,77.5,6.47,SCORERS, ,Lasse Schöne,Ajax Amsterdam,6,3,0.5,ASSISTS, ,Fabian Frei,FC Basel,8,2,0.25
2014/15,Finals,2,Juventus FC,1,0,0,1,1,3,-2,L,46,38,31,62,38,2.08,OVERALL,30,Galatasaray,4,15.2,16,1,50.4,84.7,6.45,SCORERS, ,Seydou Doumbia,AS Roma,6,3,0.5,ASSISTS, ,Ezequiel Lavezzi,Paris Saint-Germain,8,2,0.25
2015/16,8th Finals,1,FC Barcelona,2,2,0,0,5,1,4,WW,30,60,10,100,50,3.0,OVERALL,1,Real Madrid,27,21.2,24,0,54.6,88.2,7.22,SCORERS,1,Cristiano Ronaldo,Real Madrid,12,16,1.33,ASSISTS,1,Kingsley Coman,Bayern Munich,8,5,0.62
2015/16,8th Finals,2,Real Madrid,2,2,0,0,4,0,4,WW,77,15,23,69,31,2.62,OVERALL,2,FC Barcelona,22,16.8,23,0,64.8,87.7,7.17,SCORERS,2,Robert Lewandowski,Bayern Munich,12,9,0.75,ASSISTS, ,Alexis Sánchez,Arsenal,7,5,0.71
2015/16,8th Finals,3,Paris Saint-Germain,2,2,0,0,4,2,2,WW,50,30,30,70,50,2.4,OVERALL,3,Bayern Munich,30,21.7,20,1,66.6,89.6,7.13,SCORERS,3,Thomas Müller,Bayern Munich,12,8,0.67,ASSISTS,3,Cristiano Ronaldo,Real Madrid,12,4,0.33
2015/16,8th Finals,4,VfL Wolfsburg,2,2,0,0,4,2,2,WW,50,30,20,80,40,2.6,OVERALL,4,Paris Saint-Germain,18,13.8,22,0,60.7,89.3,7.13,SCORERS, ,Luis Suárez,FC Barcelona,9,8,0.89,ASSISTS, ,Thiago  ,Bayern Munich,9,4,0.44
2015/16,8th Finals,5,SL Benfica,2,2,0,0,3,1,2,WW,20,70,10,80,70,2.7,OVERALL,5,Atletico Madrid,17,15.0,21,1,48.0,79.8,7.12,SCORERS,5,Antoine Griezmann,Atletico Madrid,13,7,0.54,ASSISTS, ,Neymar  ,FC Barcelona,9,4,0.44
2015/16,8th Finals,6,Bayern Munich,2,1,1,0,6,4,2,DW,42,42,17,83,67,3.42,OVERALL,6,Chelsea,15,13.8,15,0,48.8,81.4,7.09,SCORERS,6,Artem Dzyuba ,Zenit St Petersburg,8,6,0.75,ASSISTS, ,Hulk,Zenit St Petersburg,7,4,0.57
2015/16,8th Finals,7,Manchester City,2,1,1,0,3,1,2,WD,25,58,33,58,58,2.5,OVERALL,7,FC Porto,9,15.2,13,0,53.9,83.0,6.98,SCORERS, ,Lionel Messi,FC Barcelona,7,6,0.86,ASSISTS, ,Hakan Calhanoglu,Bayer Leverkusen,6,4,0.67
2015/16,8th Finals,8,Atlético Madrid,2,0,2,0,0,0,0,DD,62,38,23,69,38,1.92,OVERALL,8,Arsenal,13,13.1,15,1,46.5,82.5,6.94,SCORERS,8,Zlatan Ibrahimovic,Paris Saint-Germain,10,5,0.5,ASSISTS,8,Gabi,Atletico Madrid,13,3,0.23
2015/16,8th Finals,9,PSV Eindhoven,2,0,2,0,0,0,0,DD,50,38,50,63,38,1.88,OVERALL,9,Bayer Leverkusen,13,16.3,12,1,52.3,76.8,6.93,SCORERS, ,Willian  ,Chelsea,8,5,0.62,ASSISTS, ,Fernandinho  ,Manchester City,12,3,0.25
2015/16,8th Finals,10,Juventus FC,2,0,1,1,4,6,-2,DL,38,50,25,63,38,2.38,OVERALL,10,Juventus FC,10,16.0,14,1,43.6,81.8,6.92,SCORERS, ,Olivier Giroud,Arsenal,7,5,0.71,ASSISTS, ,Isco  ,Real Madrid,11,3,0.27
2015/16,8th Finals,11,Dynamo Kyiv,2,0,1,1,1,3,-2,LD,63,38,25,63,38,2.0,OVERALL,11,Manchester City,18,13.0,15,0,48.5,82.6,6.92,SCORERS, ,Javier Hernández,Bayer Leverkusen,6,5,0.83,ASSISTS, ,Douglas Costa,Bayern Munich,11,3,0.27
2015/16,8th Finals,12,Chelsea,2,0,0,2,2,4,-2,LL,50,50,13,88,75,2.75,OVERALL,12,PSV Eindhoven,8,9.0,18,2,47.3,78.6,6.91,SCORERS,12,Karim Benzema,Real Madrid,9,4,0.44,ASSISTS, ,Arturo Vidal,Bayern Munich,11,3,0.27
2015/16,8th Finals,13,KAA Gent,2,0,0,2,2,4,-2,LL,13,75,13,75,63,2.63,OVERALL,13,Zenit St Petersburg,14,10.4,23,2,44.3,77.3,6.91,SCORERS, ,Nicolás Gaitán,SL Benfica,8,4,0.5,ASSISTS, ,Zlatan Ibrahimovic,Paris Saint-Germain,10,3,0.3
2015/16,8th Finals,14,Zenit St Petersburg,2,0,0,2,1,3,-2,LL,25,63,13,88,63,2.88,OVERALL,14,VfL Wolfsburg,15,12.7,18,0,48.3,81.6,6.9,SCORERS, ,Hulk,Zenit St Petersburg,7,4,0.57,ASSISTS, ,Luis Suárez,FC Barcelona,9,3,0.33
2015/16,8th Finals,15,Arsenal,2,0,0,2,1,5,-4,LL,38,50,13,100,75,3.5,OVERALL,15,SL Benfica,15,13.4,28,1,49.6,80.0,6.9,SCORERS, ,Admir Mehmedi,Bayer Leverkusen,5,4,0.8,ASSISTS, ,Nicolás Gaitán,SL Benfica,8,3,0.38
2015/16,8th Finals,16,AS Roma,2,0,0,2,0,4,-4,LL,13,63,38,88,50,3.88,OVERALL,16,Sevilla FC,8,13.7,7,0,51.4,84.2,6.78,SCORERS,16,Saúl Ñíguez,Atletico Madrid,13,3,0.23,ASSISTS, ,Dani Alves,FC Barcelona,8,3,0.38
2015/16,Quarter Finals,1,Bayern Munich,2,1,1,0,3,2,1,WD,42,42,17,83,67,3.42,OVERALL,17,Lyon,5,17.7,13,1,54.2,83.2,6.76,SCORERS, ,Raúl Jiménez,SL Benfica,10,3,0.3,ASSISTS, ,Oleg Shatov,Zenit St Petersburg,7,3,0.43
2015/16,Quarter Finals,2,Manchester City,2,1,1,0,3,2,1,DW,25,58,33,58,58,2.5,OVERALL,18,Dynamo Kyiv,9,11.9,18,0,50.4,81.0,6.76,SCORERS, ,Raheem Sterling,Manchester City,10,3,0.3,ASSISTS,18,Saúl Ñíguez,Atletico Madrid,13,2,0.15
2015/16,Quarter Finals,3,Atlético Madrid,2,1,0,1,3,2,1,LW,62,38,23,69,38,1.92,OVERALL,19,Manchester United,7,14.2,11,0,58.9,84.1,6.75,SCORERS, ,De Bruyne,Manchester City,10,3,0.3,ASSISTS, ,Thomas Müller,Bayern Munich,12,2,0.17
2015/16,Quarter Finals,4,Real Madrid,2,1,0,1,3,2,1,LW,77,15,23,69,31,2.62,OVERALL,20,Borussia M.Gladbach,8,14.7,11,0,48.8,81.0,6.74,SCORERS, ,Di María,Paris Saint-Germain,10,3,0.3,ASSISTS, ,Juanfran  ,Atletico Madrid,12,2,0.17
2015/16,Quarter Finals,5,FC Barcelona,2,1,0,1,2,3,-1,WL,30,60,10,100,50,3.0,OVERALL,21,KAA Gent,10,10.5,18,2,52.2,80.7,6.74,SCORERS, ,Julian Draxler,VfL Wolfsburg,9,3,0.33,ASSISTS, ,Raúl Jiménez,SL Benfica,10,2,0.2
2015/16,Quarter Finals,6,VfL Wolfsburg,2,1,0,1,2,3,-1,WL,50,30,20,80,40,2.6,OVERALL,22,Galatasaray,6,14.5,13,0,48.7,80.7,6.7,SCORERS, ,Neymar  ,FC Barcelona,9,3,0.33,ASSISTS, ,Raheem Sterling,Manchester City,10,2,0.2
2015/16,Quarter Finals,7,SL Benfica,2,0,1,1,2,3,-1,LD,20,70,10,80,70,2.7,OVERALL,23,AS Roma,11,14.3,10,0,44.5,78.3,6.69,SCORERS, ,Danijel Milicevic,KAA Gent,8,3,0.38,ASSISTS, ,Fernando  ,Manchester City,10,2,0.2
2015/16,Quarter Finals,8,Paris Saint-Germain,2,0,1,1,2,3,-1,DL,50,30,30,70,50,2.4,OVERALL,24,CSKA Moscow,6,8.8,10,0,41.2,75.3,6.69,SCORERS, ,Adrien Rabiot,Paris Saint-Germain,7,3,0.43,ASSISTS, ,Eliseu  ,SL Benfica,10,2,0.2
2015/16,Semi Finals,1,Real Madrid,2,1,1,0,1,0,1,DW,77,15,23,69,31,2.62,OVERALL,25,Valencia CF,5,12.3,18,1,51.0,81.5,6.68,SCORERS, ,Alexis Sánchez,Arsenal,7,3,0.43,ASSISTS, ,Ángel Di María,Paris Saint-Germain,10,2,0.2
2015/16,Semi Finals,2,Atlético Madrid,2,1,0,1,2,2,0,WL,62,38,23,69,38,1.92,OVERALL,26,FC Astana,5,12.7,12,0,42.2,74.4,6.65,SCORERS, ,Vincent Aboubakar,FC Porto,6,3,0.5,ASSISTS, ,Ivan Rakitic,FC Barcelona,10,2,0.2
2015/16,Semi Finals,3,Bayern Munich,2,1,0,1,2,2,0,LW,42,42,17,83,67,3.42,OVERALL,27,BATE Borisov,5,6.3,18,0,37.9,66.6,6.61,SCORERS, ,Seydou Doumbia,AS Roma,6,3,0.5,ASSISTS, ,Yaya Touré,Manchester City,10,2,0.2
2015/16,Semi Finals,4,Manchester City,2,0,1,1,0,1,-1,DL,25,58,33,58,58,2.5,OVERALL,28,Olympiakos,6,11.8,12,0,41.8,75.8,6.6,SCORERS, ,Lars Stindl,Borussia Monchengladbach,6,3,0.5,ASSISTS, ,Yannick Carrasco,Atletico Madrid,9,2,0.22
2015/16,Finals,1,Real Madrid,1,0,1,0,1,1,0,W,77,15,23,69,31,2.62,OVERALL,29,Shakhtar Donetsk,7,14.3,15,1,51.2,86.9,6.55,SCORERS, ,Alex Teixeira,Shakhtar Donetsk,6,3,0.5,ASSISTS, ,Jonas  ,SL Benfica,9,2,0.22
2015/16,Finals,2,Atlético Madrid,1,0,1,0,1,1,0,D,62,38,23,69,38,1.92,OVERALL,30,Dinamo Zagreb,3,9.8,13,1,42.1,77.2,6.44,SCORERS, ,Felipe Pardo,Olympiakos,6,3,0.5,ASSISTS, ,Julian Draxler,VfL Wolfsburg,9,2,0.22
2016/17,8th Finals,1,Bayern Munich,2,2,0,0,10,2,8,WW,20,70,10,80,80,4.1,OVERALL,1,Real Madrid,36,19.5,19,0,53.5,87.2,7.11,SCORERS,1,Cristiano Ronaldo,Real Madrid,13,12,0.92,ASSISTS,1,Neymar  ,FC Barcelona,9,8,0.89
2016/17,8th Finals,2,Real Madrid,2,2,0,0,6,2,4,WW,8,92,0,100,100,4.15,OVERALL,2,Bayern Munich,27,19.3,16,2,61.9,88.6,7.06,SCORERS,2,Lionel Messi,FC Barcelona,9,11,1.22,ASSISTS,2,Ousmane Dembélé,Borussia Dortmund,10,6,0.6
2016/17,8th Finals,3,Juventus FC,2,2,0,0,3,0,3,WW,69,31,15,69,38,2.23,OVERALL,3,FC Barcelona,26,13.1,25,1,60.5,87.4,7.03,SCORERS,3,Robert Lewandowski,Bayern Munich,9,8,0.89,ASSISTS,3,Cristiano Ronaldo,Real Madrid,13,5,0.38
2016/17,8th Finals,4,Atlético Madrid,2,1,1,0,4,2,2,WD,50,33,25,50,33,2.0,OVERALL,4,Atletico Madrid,15,13.3,21,0,48.5,80.1,7.01,SCORERS, ,Edinson Cavani,Paris Saint-Germain,8,8,1.0,ASSISTS, ,Dani Carvajal,Real Madrid,11,5,0.45
2016/17,8th Finals,5,Borussia Dortmund,2,1,0,1,4,1,3,LW,30,60,10,80,80,4.4,OVERALL,5,Borussia Dortmund,28,15.4,19,0,59.3,86.2,6.99,SCORERS,5,Pierre-Emerick Aubameyang,Borussia Dortmund,9,7,0.78,ASSISTS,5,Thomas Lemar,AS Monaco,12,4,0.33
2016/17,8th Finals,6,FC Barcelona,2,1,0,1,6,5,1,LW,50,30,30,90,80,3.8,OVERALL,6,Juventus FC,22,13.8,27,2,54.0,85.5,6.98,SCORERS,6,Antoine Griezmann,Atletico Madrid,12,6,0.5,ASSISTS, ,Dani Alves,Juventus FC,12,4,0.33
2016/17,8th Finals,7,Leicester City,2,1,0,1,3,2,1,LW,50,30,30,60,40,2.1,OVERALL,7,FC Copenhagen,7,11.2,7,1,52.5,79.1,6.94,SCORERS, ,Kylian Mbappé,AS Monaco,9,6,0.67,ASSISTS,7,Miralem Pjanic,Juventus FC,12,3,0.25
2016/17,8th Finals,8,Manchester City,2,1,0,1,6,6,0,WL,30,60,10,90,70,4.0,OVERALL,8,Bayer Leverkusen,10,13.3,16,0,50.6,76.8,6.94,SCORERS,8,Karim Benzema,Real Madrid,13,5,0.38,ASSISTS, ,Fabinho  ,AS Monaco,10,3,0.3
2016/17,8th Finals,9,AS Monaco,2,1,0,1,6,6,0,LW,13,75,13,94,75,3.31,OVERALL,9,Lyon,5,17.5,14,0,51.4,85.0,6.94,SCORERS, ,Gonzalo Higuaín,Juventus FC,12,5,0.42,ASSISTS, ,Thiago  ,Bayern Munich,9,3,0.33
2016/17,8th Finals,10,Paris Saint-Germain,2,1,0,1,5,6,-1,WL,25,75,0,100,88,3.88,OVERALL,10,Arsenal,20,11.8,13,2,49.1,84.9,6.93,SCORERS, ,Dries Mertens,SSC Napoli,8,5,0.62,ASSISTS, ,Douglas Costa,Bayern Munich,9,3,0.33
2016/17,8th Finals,11,Sevilla FC,2,1,0,1,2,3,-1,WL,63,25,38,50,38,1.88,OVERALL,11,Sevilla FC,9,13.0,15,2,57.1,83.5,6.92,SCORERS, ,Radamel Falcao,AS Monaco,8,5,0.62,ASSISTS, ,Faouzi Ghoulam,SSC Napoli,8,3,0.38
2016/17,8th Finals,12,SL Benfica,2,1,0,1,1,4,-3,WL,38,50,13,75,50,3.13,OVERALL,12,Paris Saint-Germain,18,15.4,15,1,54.1,87.9,6.9,SCORERS, ,Sergio Agüero,Manchester City,7,5,0.71,ASSISTS, ,Alexis Sánchez,Arsenal,8,3,0.38
2016/17,8th Finals,13,Bayer Leverkusen,2,0,1,1,2,4,-2,LD,50,50,25,63,38,2.25,OVERALL,13,Tottenham Hotspur FC,6,13.8,6,0,59.1,83.2,6.89,SCORERS,13,Saúl Ñíguez,Atletico Madrid,12,4,0.33,ASSISTS, ,Mesut Özil,Arsenal,8,3,0.38
2016/17,8th Finals,14,FC Porto,2,0,0,2,0,3,-3,LL,40,30,40,60,30,2.0,OVERALL,14,Manchester City,18,13.1,14,2,54.8,85.8,6.88,SCORERS, ,Paulo Dybala,Juventus FC,11,4,0.36,ASSISTS, ,Benjamin Mendy,AS Monaco,7,3,0.43
2016/17,8th Finals,15,SSC Napoli,2,0,0,2,2,6,-4,LL,13,88,13,88,75,3.38,OVERALL,15,AS Monaco,22,12.2,28,0,46.4,78.9,6.88,SCORERS, ,Riyad Mahrez,Leicester City,9,4,0.44,ASSISTS, ,Raheem Sterling,Manchester City,7,3,0.43
2016/17,8th Finals,16,Arsenal,2,0,0,2,2,10,-8,LL,25,75,0,100,75,4.5,OVERALL,16,FC Porto,9,13.3,15,2,49.9,81.9,6.83,SCORERS, ,Neymar  ,FC Barcelona,9,4,0.44,ASSISTS, ,Ludwig Augustinsson,FC Copenhagen,6,3,0.5
2016/17,Quarter Finals,1,AS Monaco,2,2,0,0,6,3,3,WW,13,75,13,94,75,3.31,OVERALL,17,Leicester City,11,10.7,19,0,42.2,71.0,6.8,SCORERS, ,Mesut Özil,Arsenal,8,4,0.5,ASSISTS, ,Layvin Kurzawa,Paris Saint-Germain,5,3,0.6
2016/17,Quarter Finals,2,Real Madrid,2,2,0,0,6,3,3,WW,8,92,0,100,100,4.15,OVERALL,18,SL Benfica,11,11.1,13,0,45.8,79.6,6.72,SCORERS, ,André Silva,FC Porto,8,4,0.5,ASSISTS,18,Antoine Griezmann,Atletico Madrid,12,2,0.17
2016/17,Quarter Finals,3,Juventus FC,2,1,1,0,3,0,3,WD,69,31,15,69,38,2.23,OVERALL,19,FC Rostov,6,5.5,10,0,37.2,65.5,6.67,SCORERS, ,Ángel Di María,Paris Saint-Germain,7,4,0.57,ASSISTS, ,Marcelo  ,Real Madrid,11,2,0.18
2016/17,Quarter Finals,4,Atlético Madrid,2,1,1,0,2,1,1,WD,50,33,25,50,33,2.0,OVERALL,20,PSV Eindhoven,4,9.3,6,0,44.7,80.1,6.66,SCORERS, ,Theo Walcott,Arsenal,6,4,0.67,ASSISTS, ,Sergio Ramos,Real Madrid,11,2,0.18
2016/17,Quarter Finals,5,Leicester City,2,0,1,1,1,2,-1,LD,50,30,30,60,40,2.1,OVERALL,21,SSC Napoli,13,13.5,10,0,52.4,85.5,6.62,SCORERS, ,Arda Turan,FC Barcelona,5,4,0.8,ASSISTS, ,Christian Pulisic,Borussia Dortmund,10,2,0.2
2016/17,Quarter Finals,6,FC Barcelona,2,0,1,1,0,3,-3,LD,50,30,30,90,80,3.8,OVERALL,22,Dynamo Kyiv,8,11.2,13,1,50.5,83.5,6.62,SCORERS, ,Marco Reus,Borussia Dortmund,4,4,1.0,ASSISTS, ,Casemiro  ,Real Madrid,9,2,0.22
2016/17,Quarter Finals,7,Bayern Munich,2,0,0,2,3,6,-3,LL,20,70,10,80,80,4.1,OVERALL,23,Borussia M.Gladbach,5,9.5,8,2,41.4,79.4,6.61,SCORERS,23,Dani Alves,Juventus FC,12,3,0.25,ASSISTS, ,Riyad Mahrez,Leicester City,9,2,0.22
2016/17,Quarter Finals,8,Borussia Dortmund,2,0,0,2,3,6,-3,LL,30,60,10,80,80,4.4,OVERALL,24,Sporting CP,5,12.0,14,2,48.9,82.5,6.61,SCORERS, ,Mario Mandzukic,Juventus FC,11,3,0.27,ASSISTS, ,Luis Suárez,FC Barcelona,9,2,0.22
2016/17,Semi Finals,1,Juventus FC,2,2,0,0,4,1,3,WW,69,31,15,69,38,2.23,OVERALL,25,CSKA Moscow,5,8.3,7,0,41.2,72.5,6.61,SCORERS, ,Álvaro Morata,Real Madrid,9,3,0.33,ASSISTS, ,David Alaba,Bayern Munich,9,2,0.22
2016/17,Semi Finals,2,Real Madrid,2,1,0,1,4,2,2,WL,8,92,0,100,100,4.15,OVERALL,26,Besiktas,9,9.3,13,2,49.2,81.8,6.56,SCORERS, ,Luis Suárez,FC Barcelona,9,3,0.33,ASSISTS, ,Lionel Messi,FC Barcelona,9,2,0.22
2016/17,Semi Finals,3,Atlético Madrid,2,1,0,1,2,4,-2,LW,50,33,25,50,33,2.0,OVERALL,27,Ludogorets Razgrad,6,6.5,9,0,46.3,83.9,6.55,SCORERS, ,Thomas Müller,Bayern Munich,9,3,0.33,ASSISTS, ,Eduardo Salvio,SL Benfica,8,2,0.25
2016/17,Semi Finals,4,AS Monaco,2,0,0,2,1,4,-3,LL,13,75,13,94,75,3.31,OVERALL,28,Celtic,5,9.0,8,0,44.8,82.8,6.49,SCORERS, ,Marco Asensio,Real Madrid,8,3,0.38,ASSISTS, ,Marek Hamsik,SSC Napoli,8,2,0.25
2016/17,Finals,1,Real Madrid,1,1,0,0,4,1,3,W,8,92,0,100,100,4.15,OVERALL,29,Club Bruges,2,8.5,14,0,48.9,78.8,6.47,SCORERS, ,Joshua Kimmich,Bayern Munich,8,3,0.38,ASSISTS, ,Mariano  ,Sevilla FC,8,2,0.25
2016/17,Finals,2,Juventus FC,1,0,0,1,1,4,-3,L,69,31,15,69,38,2.23,OVERALL,30,FC Basel,3,10.3,11,1,42.6,80.4,6.43,SCORERS, ,Eduardo Salvio,SL Benfica,8,3,0.38,ASSISTS, ,Dries Mertens,SSC Napoli,8,2,0.25
2017/18,8th Finals,1,Bayern Munich,2,2,0,0,8,1,7,WW,33,58,17,92,92,3.17,OVERALL,1,Paris Saint-Germain,27,15.3,11,1,53.2,88.7,7.24,SCORERS,1,Cristiano Ronaldo,Real Madrid,13,15,1.15,ASSISTS,1,James Milner,Liverpool FC,11,8,0.73
2017/18,8th Finals,2,Real Madrid,2,2,0,0,5,2,3,WW,23,77,0,100,92,3.77,OVERALL,2,Liverpool FC,41,15.7,20,1,50.1,81.1,7.13,SCORERS,2,Mohamed Salah,Liverpool FC,13,10,0.77,ASSISTS,2,Roberto Firmino,Liverpool FC,13,7,0.54
2017/18,8th Finals,3,Liverpool FC,2,1,1,0,5,0,5,WD,40,60,7,93,87,4.4,OVERALL,3,Real Madrid,33,17.3,21,0,55.8,88.6,7.09,SCORERS, ,Roberto Firmino,Liverpool FC,13,10,0.77,ASSISTS,3,Mohamed Salah,Liverpool FC,13,4,0.31
2017/18,8th Finals,4,FC Barcelona,2,1,1,0,4,1,3,DW,60,30,30,70,50,2.3,OVERALL,4,Manchester United,13,14.0,10,0,55.3,84.4,7.01,SCORERS, ,Sadio Mané,Liverpool FC,11,10,0.91,ASSISTS, ,Marcelo  ,Real Madrid,11,4,0.36
2017/18,8th Finals,5,Juventus FC,2,1,1,0,4,3,3,DW,30,50,30,90,60,2.6,OVERALL,5,Bayern Munich,26,18.8,23,0,56.3,86.5,7.0,SCORERS,5,Edin Dzeko,AS Roma,12,8,0.67,ASSISTS, ,Kevin De Bruyne,Manchester City,8,4,0.5
2017/18,8th Finals,6,Sevilla FC,2,1,1,0,2,1,1,DW,25,75,17,83,75,3.08,OVERALL,6,Tottenham Hotspur FC,18,14.6,11,1,49.6,83.5,6.99,SCORERS, ,Ben Yedder,Sevilla FC,9,8,0.89,ASSISTS, ,Dele Alli,Tottenham Hotspur FC,5,4,0.8
2017/18,8th Finals,7,Manchester City,2,1,0,1,5,2,3,WL,40,50,10,90,80,3.2,OVERALL,7,Manchester City,20,13.5,19,0,62.6,89.2,6.99,SCORERS,7,Edinson Cavani,Paris Saint-Germain,8,7,0.88,ASSISTS,7,Cristiano Ronaldo,Real Madrid,13,3,0.23
2017/18,8th Finals,8,AS Roma,2,1,0,1,2,2,0,LW,42,50,17,75,67,3.33,OVERALL,8,FC Barcelona,17,12.9,17,1,61.1,87.9,6.9,SCORERS, ,Harry Kane,Tottenham Hotspur FC,7,7,1.0,ASSISTS, ,Aleksandar Kolarov,AS Roma,12,3,0.25
2017/18,8th Finals,9,Shakhtar Donetsk,2,1,0,1,2,2,0,WL,0,63,38,88,75,2.75,OVERALL,9,AS Roma,21,14.5,15,1,50.8,82.6,6.85,SCORERS,9,Lionel Messi,FC Barcelona,10,6,0.6,ASSISTS, ,Joshua Kimmich,Bayern Munich,11,3,0.27
2017/18,8th Finals,10,FC Basel,2,1,0,1,2,5,-3,LW,50,25,25,88,63,2.88,OVERALL,10,Chelsea,17,15.6,10,0,47.2,84.1,6.84,SCORERS, ,Neymar,Paris Saint-Germain,7,6,0.86,ASSISTS, ,Luis Suárez,FC Barcelona,10,3,0.3
2017/18,8th Finals,11,Tottenham Hotspur FC,2,0,1,1,3,4,-1,DL,25,75,0,100,88,3.25,OVERALL,11,Atletico Madrid,5,17.7,5,1,50.9,83.3,6.83,SCORERS,11,Robert Lewandowski,Bayern Munich,11,5,0.45,ASSISTS, ,Kylian Mbappé,Paris Saint-Germain,8,3,0.38
2017/18,8th Finals,12,Manchester United,2,0,1,1,1,2,-1,DL,50,38,25,63,50,2.25,OVERALL,12,FC Basel,13,10.4,14,0,39.1,75.7,6.83,SCORERS, ,Gonzalo Higuaín,Juventus FC,10,5,0.5,ASSISTS, ,Joaquín Correa,Sevilla FC,8,3,0.38
2017/18,8th Finals,13,Chelsea,2,0,1,1,1,4,-3,DL,25,50,25,100,75,3.63,OVERALL,13,Sevilla FC,15,15.9,19,1,55.6,84.7,6.82,SCORERS, ,Karim Benzema,Real Madrid,9,5,0.56,ASSISTS, ,Alberto Moreno,Liverpool FC,8,3,0.38
2017/18,8th Finals,14,FC Porto,2,0,1,1,0,5,-5,LD,25,63,25,88,75,3.75,OVERALL,14,FC Porto,15,12.6,14,1,46.3,77.1,6.82,SCORERS, ,Romelu Lukaku,Manchester United,8,5,0.62,ASSISTS, ,Dani Carvajal,Real Madrid,8,3,0.38
2017/18,8th Finals,15,Paris Saint-Germain,2,0,0,2,2,5,-3,LL,50,50,0,100,100,4.5,OVERALL,15,Besiktas,12,10.3,20,1,48.5,76.6,6.8,SCORERS, ,Vincent Aboubakar,FC Porto,6,5,0.83,ASSISTS, ,Eden Hazard,Chelsea,8,3,0.38
2017/18,8th Finals,16,Besiktas,2,0,0,2,1,8,-7,LL,13,75,13,100,63,3.13,OVERALL,16,Juventus FC,14,12.7,25,2,49.5,84.1,6.78,SCORERS, ,Philippe Coutinho,FC Barcelona,5,5,1.0,ASSISTS, ,Sami Khedira,Juventus FC,8,3,0.38
2017/18,Quarter Finals,1,Liverpool FC,2,2,0,0,5,1,4,WW,40,60,7,93,87,4.4,OVERALL,17,RasenBallsport Leipzig,10,15.2,9,1,54.4,78.7,6.74,SCORERS,17,Joshua Kimmich,Bayern Munich,11,4,0.36,ASSISTS, ,Neymar  ,Paris Saint-Germain,7,3,0.43
2017/18,Quarter Finals,2,Bayern Munich,2,1,1,0,2,1,1,WD,33,58,17,92,92,3.17,OVERALL,18,Shakhtar Donetsk,11,10.8,15,2,48.6,83.9,6.73,SCORERS, ,Gabriel Jesus,Manchester City,9,4,0.44,ASSISTS, ,Ricardo Quaresma,Besiktas,7,3,0.43
2017/18,Quarter Finals,3,Real Madrid,2,1,0,1,4,3,1,WL,23,77,0,100,92,3.77,OVERALL,19,Spartak Moscow,9,12.7,12,0,47.7,81.7,6.69,SCORERS, ,Kylian Mbappé,Paris Saint-Germain,8,4,0.5,ASSISTS, ,Dries Mertens,SSC Napoli,6,3,0.5
2017/18,Quarter Finals,4,AS Roma,2,1,0,1,4,4,0,LW,42,50,17,75,67,3.33,OVERALL,20,SSC Napoli,11,12.2,13,0,52.6,85.6,6.68,SCORERS, ,Dimitri Oberlin,FC Basel,8,4,0.5,ASSISTS, ,Danilo Pereira,FC Porto,6,3,0.5
2017/18,Quarter Finals,5,FC Barcelona,2,1,0,1,4,4,0,WL,60,30,30,70,50,2.3,OVERALL,21,CSKA Moscow,8,12.0,13,0,45.3,76.2,6.67,SCORERS, ,Anderson Talisca,Besiktas,8,4,0.5,ASSISTS, ,Kieran Trippier,Tottenham Hotspur FC,3,3,1.0
2017/18,Quarter Finals,6,Juventus FC,2,1,0,1,3,4,-1,LW,30,50,30,90,60,2.6,OVERALL,22,Sporting CP,8,9.5,19,0,43.5,79.6,6.66,SCORERS, ,Raheem Sterling,Manchester City,8,4,0.5,ASSISTS,22,Edin Dzeko,AS Roma,12,2,0.17
2017/18,Quarter Finals,7,Sevilla FC,2,0,1,1,1,2,-1,LD,25,75,17,83,75,2.6,OVERALL,23,Borussia Dortmund,7,14.3,10,0,56.3,86.5,6.65,SCORERS, ,Son Heung-Min,Tottenham Hotspur FC,7,4,0.57,ASSISTS, ,Georginio Wijnaldum,Liverpool FC,12,2,0.17
