YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2013/14,Assists,1,Ángel Di María, Real Madrid,11
2013/14,Assists, ,Karim Benzema,Real Madrid,11,5
2013/14,Assists, ,Wayne Rooney,Manchester United,9,5
2013/14,Assists,4,Gareth Bale,Real Madrid,12,4
2013/14,Assists, ,Philipp Lahm,Bayern Munich,12,4
2013/14,Assists, ,Raúl García,Atletico Madrid,12,4
2013/14,Assists, ,Gabi  ,Atletico Madrid,12,4
2013/14,Assists, ,Cristiano Ronaldo,Real Madrid,11,4
2013/14,Assists, ,Oscar  ,Chelsea  ,10,4
2013/14,Assists, ,Arjen Robben,Bayern Munich,10,4
2013/14,Assists, ,Samir Nasri,Manchester City,7,4
2013/14,Assists, ,Gregory van der Wiel, Paris Saint-Germain,6
2013/14,Assists,13,Luka Modric,Real Madrid,11,3
2013/14,Assists, ,Neymar  ,Barcelona  ,10,3
2013/14,Assists, ,Xavi  ,Barcelona  ,10,3
2013/14,Assists, ,Blaise Matuidi,Paris Saint-Germain,9,3
2013/14,Assists, ,Andrés Iniesta,Barcelona  ,9,3
2013/14,Assists, ,Thiago Motta,Paris Saint-Germain,9,3
2013/14,Assists, ,Jesús Navas,Manchester City,8,3
2013/14,Assists, ,Didier Drogba, Galatasaray,8,3
2013/14,Assists, ,James Milner,Manchester City,6,3
2013/14,Assists,22,Koke, Atletico Madrid  ,13,2
2013/14,Assists, ,Toni Kroos,Bayern Munich,12,2
2013/14,Assists, ,Juanfran  ,Atletico Madrid,12,2
2013/14,Assists, ,Willian  ,Chelsea  ,11,2
2013/14,Assists, ,Pepe  ,Real Madrid,11,2
2013/14,Assists, ,Frank Lampard, Chelsea,11,2
2013/14,Assists, ,Kevin Grosskreutz,Borussia Dortmund,10,2
2013/14,Assists, ,Mario Mandzukic,Bayern Munich,10,2
2013/14,Assists, ,Ezequiel Lavezzi,Paris Saint-Germain,10,2
2013/14,Assists, ,César Azpilicueta, Chelsea,10,2
2013/14,Assists, ,Antonio Valencia,Manchester United,10,2
2013/14,Assists, ,Franck Ribéry,Bayern Munich,10,2
2013/14,Assists, ,Dante  ,Bayern Munich,9,2
2013/14,Assists, ,Robert Lewandowski,Borussia Dortmund,9,2
2013/14,Assists, ,Marco Reus,Borussia Dortmund,9,2
2013/14,Assists, ,Son Heung-Min,Bayer Leverkusen,8,2
2013/14,Assists, ,Hulk, Zenit St Petersburg,8,2
2013/14,Assists, ,Mesut Özil,Arsenal  ,8,2
2013/14,Assists, ,David Fuster, Olympiakos,8,2
2013/14,Assists, ,Emmanuel Eboué, Galatasaray,8,2
2013/14,Assists, ,Erik Durm,Borussia Dortmund,7,2
2013/14,Assists, ,Giannis Maniatis, Olympiakos,7,2
2013/14,Assists, ,Danilo  ,FC Porto,6,2
2013/14,Assists, ,Giulio Donati,Bayer Leverkusen,6,2
2013/14,Assists, ,Douglas Costa,Shakhtar Donetsk,6,2
2013/14,Assists, ,Daniel Kolár,Viktoria Plzen,6,2
2013/14,Assists, ,Keisuke Honda,AC Milan,6,2
2013/14,Assists, ,Dries Mertens,Napoli  ,6,2
2013/14,Assists, ,Sergio Agüero,Manchester City,6,2
