YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2017/18,Assists,1,James Milner,Liverpool  ,11,8
2017/18,Assists,2,Roberto Firmino,Liverpool  ,13,7
2017/18,Assists,3,Mohamed Salah,Liverpool  ,13,4
2017/18,Assists, ,Marcelo  ,Real Madrid,11,4
2017/18,Assists, ,Kevin De Bruyne,Manchester City,8,4
2017/18,Assists, ,Dele Alli,Tottenham Hotspur,5,4
2017/18,Assists,7,Cristiano Ronaldo,Real Madrid,13,3
2017/18,Assists, ,Aleksandar Kolarov,AS Roma,12,3
2017/18,Assists, ,Joshua Kimmich,Bayern Munich,11,3
2017/18,Assists, ,Luis Suárez,Barcelona  ,10,3
2017/18,Assists, ,Kylian Mbappé,Paris Saint-Germain,8,3
2017/18,Assists, ,Joaquín Correa,Sevilla FC,8,3
2017/18,Assists, ,Alberto Moreno, Liverpool,8,3
2017/18,Assists, ,Dani Carvajal,Real Madrid,8,3
2017/18,Assists, ,Eden  ,Hazard Chelsea,8,3
2017/18,Assists, ,Sami Khedira,Juventus  ,8,3
2017/18,Assists, ,Neymar  ,Paris Saint-Germain,7,3
2017/18,Assists, ,Ricardo Quaresma,Besiktas  ,7,3
2017/18,Assists, ,Dries Mertens,Napoli  ,6,3
2017/18,Assists, ,Danilo Pereira,FC Porto,6,3
2017/18,Assists, ,Kieran Trippier,Tottenham Hotspur,3,3
2017/18,Assists,22,Edin Dzeko,AS Roma,12,2
2017/18,Assists, ,Georginio Wijnaldum, Liverpool,12,2
2017/18,Assists, ,James Rodríguez,Bayern Munich,12,2
2017/18,Assists, ,Isco  ,Real Madrid,11,2
2017/18,Assists, ,Radja Nainggolan,AS Roma,11,2
2017/18,Assists, ,Lucas Vázquez,Real Madrid,10,2
2017/18,Assists, ,Pablo Sarabia,Sevilla FC,10,2
2017/18,Assists, ,Sergio Escudero,Sevilla FC,10,2
2017/18,Assists, ,Thomas Müller,Bayern Munich,10,2
2017/18,Assists, ,Lionel Messi,Barcelona  ,10,2
2017/18,Assists, ,Leroy Sané,Manchester City,9,2
2017/18,Assists, ,Bernardo Silva,Manchester City,9,2
2017/18,Assists, ,Ilkay Gündogan,Manchester City,9,2
2017/18,Assists, ,Éver Banega,Sevilla FC,9,2
2017/18,Assists, ,Corentin Tolisso,Bayern Munich,8,2
2017/18,Assists, ,Anthony Martial,Manchester United,8,2
2017/18,Assists, ,Adrien Rabiot,Paris Saint-Germain,8,2
2017/18,Assists, ,Marco Verratti,Paris Saint-Germain,8,2
2017/18,Assists, ,Marlos  ,Shakhtar Donetsk,8,2
2017/18,Assists, ,Andrés Iniesta,Barcelona  ,8,2
2017/18,Assists, ,Ricardo Pereira,FC Porto,7,2
2017/18,Assists, ,Harry Kane,Tottenham Hotspur,7,2
2017/18,Assists, ,David Alaba,Bayern Munich,7,2
2017/18,Assists, ,Pedro  ,Chelsea  ,7,2
2017/18,Assists, ,Gareth Bale,Real Madrid,7,2
2017/18,Assists, ,David Silva,Manchester City,7,2
2017/18,Assists, ,Moussa Marega,FC Porto,6,2
2017/18,Assists, ,Keita Baldé,AS Monaco,6,2
2017/18,Assists, ,Kingsley Coman,Bayern Munich,6,2
