YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2011/12,Assists,1,Lionel Messi,FC Barcelona,11,9
2011/12,Assists,2,Karim Benzema,Real Madrid,10,5
2011/12,Assists, ,Zlatan Ibrahimović,AC Milan,8,5
2011/12,Assists, ,Isaac Cuenca,FC Barcelona,8,5
2011/12,Assists, ,Kaká,Real Madrid,7,5
2011/12,Assists, ,Franck Ribéry,Bayern München,11,5
2011/12,Assists,7,Costas Charalambides,APOEL Nikosia,10,4
2011/12,Assists, ,Cristiano Ronaldo,Real Madrid,10,4
2011/12,Assists, ,Fernando Torres,Chelsea FC,8,4
2011/12,Assists, ,Nicolás Gaitán,SL Benfica,10,4
2011/12,Assists, ,Toni Kroos,Bayern München,13,4
2011/12,Assists, ,Ezequiel Lavezzi,SSC Napoli,8,4
2011/12,Assists, ,Marcelo,Real Madrid,11,4
2011/12,Assists, ,Mesut Özil,Real Madrid,11,4
2011/12,Assists,15,Aly Cissokho,Olympique Lyon,8,3
2011/12,Assists, Dani Alves,FC Barcelona,12,3
2011/12,Assists, ,Alan Dzagoev,CSKA Moskva,8,3
2011/12,Assists, ,Jonas,Valencia CF,6,3
2011/12,Assists, ,Frank Lampard,Chelsea FC,13,3
2011/12,Assists, ,Mata,Chelsea FC,13,3
2011/12,Assists, ,Vágner Love,CSKA Moskva,8,3
2011/12,Assists,22,Morgan Amalfitano,Olympique Marseille,10,2
2011/12,Assists, ,Holger Badstuber,Bayern München,8,2
2011/12,Assists, ,Michael Ballack,Bayer Leverkusen,5,2
2011/12,Assists, ,Mario Balotelli,Manchester City,6,2
2011/12,Assists, ,Bruno César,SL Benfica,10,2
2011/12,Assists, ,Sergio Busquets,FC Barcelona,12,2
2011/12,Assists, ,Edinson Cavani,SSC Napoli,8,2
2011/12,Assists, ,Cesc Fàbregas,FC Barcelona,10,2
2011/12,Assists, ,Ashley Cole,Chelsea FC,13,2
