YEAR,CATEGORIES 2,RANK_A,NAME_A,TEAM_A,P_A,A
2015/16,Assists,1,Kingsley Coman,Bayern Munich,8,5
2015/16,Assists, ,Alexis Sánchez,Arsenal  ,7,5
2015/16,Assists,3,Cristiano Ronaldo,Real Madrid,12,4
2015/16,Assists, ,Thiago  ,Bayern Munich,9,4
2015/16,Assists, ,Neymar  ,Barcelona  ,9,4
2015/16,Assists, ,Hulk, Zenit St Petersburg,7,4
2015/16,Assists, ,Hakan Calhanoglu,Bayer Leverkusen,6,4
2015/16,Assists,8,Gabi, Atletico Madrid  ,13,3
2015/16,Assists, ,Fernandinho  ,Manchester City,12,3
2015/16,Assists, ,Isco  ,Real Madrid,11,3
2015/16,Assists, ,Douglas Costa,Bayern Munich,11,3
2015/16,Assists, ,Arturo Vidal,Bayern Munich,11,3
2015/16,Assists, ,Zlatan Ibrahimovic,Paris Saint-Germain,10,3
2015/16,Assists, ,Luis Suárez,Barcelona  ,9,3
2015/16,Assists, ,Nicolás Gaitán,Benfica  ,8,3
2015/16,Assists, ,Dani Alves,Barcelona  ,8,3
2015/16,Assists, ,Oleg Shatov, Zenit St Petersburg,7,3
2015/16,Assists,18,Saúl Ñíguez,Atletico Madrid,13,2
2015/16,Assists, ,Thomas Müller,Bayern Munich,12,2
2015/16,Assists, ,Juanfran  ,Atletico Madrid,12,2
2015/16,Assists, ,Raúl Jiménez,Benfica  ,10,2
2015/16,Assists, ,Raheem Sterling,Manchester City,10,2
2015/16,Assists, ,Fernando  ,Manchester City,10,2
2015/16,Assists, ,Eliseu  ,Benfica  ,10,2
2015/16,Assists, ,Di María,Paris Saint-Germain,10,2
2015/16,Assists, ,Ivan Rakitic,Barcelona  ,10,2
2015/16,Assists, ,Yaya Touré,Manchester City,10,2
2015/16,Assists, ,Yannick Carrasco,Atletico Madrid,9,2
2015/16,Assists, ,Jonas  ,Benfica  ,9,2
2015/16,Assists, ,Julian Draxler,VfL Wolfsburg,9,2
2015/16,Assists, ,Maxwell  ,Paris Saint-Germain,9,2
2015/16,Assists, ,Blaise Matuidi,Paris Saint-Germain,9,2
2015/16,Assists, ,Derlis González,Dynamo Kiev,8,2
2015/16,Assists, ,Lucas Digne,AS Roma,8,2
2015/16,Assists, ,Álvaro Morata,Juventus  ,8,2
2015/16,Assists, ,Paul Pogba,Juventus  ,8,2
2015/16,Assists, ,Danny, Zenit St Petersburg,8,2
2015/16,Assists, ,Sven Kums,KAA Gent,8,2
2015/16,Assists, ,Artem Dzyuba,Zenit St Petersburg,8,2
2015/16,Assists, ,Gareth Bale,Real Madrid,8,2
2015/16,Assists, ,Lucas Vázquez,Real Madrid,7,2
2015/16,Assists, ,Konstantinos Fortounis, Olympiakos,6,2
2015/16,Assists, ,Kevin Kampl,Bayer Leverkusen,6,2
2015/16,Assists, ,Miguel Layún,FC Porto,6,2
2015/16,Assists, ,Karim Bellarabi,Bayer Leverkusen,6,2
2015/16,Assists, ,Lars Stindl,Borussia Monchengladbach,6,2
2015/16,Assists, ,Joel Campbell,Arsenal  ,5,2
2015/16,Assists, ,Julian Korb,Borussia Monchengladbach,5,2
2015/16,Assists, ,Wilfried Bony,Manchester City,5,2
2015/16,Assists, ,Juan Mata,Manchester United,5,2
